PING 192.168.40.2 (192.168.40.2) 56(84) bytes of data.
64 bytes from 192.168.40.2: icmp_seq=1 ttl=63 time=893 ms
64 bytes from 192.168.40.2: icmp_seq=2 ttl=63 time=1463 ms
64 bytes from 192.168.40.2: icmp_seq=3 ttl=63 time=2254 ms
64 bytes from 192.168.40.2: icmp_seq=4 ttl=63 time=2726 ms
64 bytes from 192.168.40.2: icmp_seq=5 ttl=63 time=2802 ms
64 bytes from 192.168.40.2: icmp_seq=6 ttl=63 time=2951 ms
64 bytes from 192.168.40.2: icmp_seq=7 ttl=63 time=3090 ms
64 bytes from 192.168.40.2: icmp_seq=8 ttl=63 time=3510 ms
64 bytes from 192.168.40.2: icmp_seq=9 ttl=63 time=3983 ms
64 bytes from 192.168.40.2: icmp_seq=10 ttl=63 time=4528 ms
64 bytes from 192.168.40.2: icmp_seq=11 ttl=63 time=4902 ms
64 bytes from 192.168.40.2: icmp_seq=12 ttl=63 time=5519 ms
64 bytes from 192.168.40.2: icmp_seq=13 ttl=63 time=5938 ms
64 bytes from 192.168.40.2: icmp_seq=14 ttl=63 time=6476 ms
64 bytes from 192.168.40.2: icmp_seq=15 ttl=63 time=6944 ms
64 bytes from 192.168.40.2: icmp_seq=16 ttl=63 time=7462 ms
64 bytes from 192.168.40.2: icmp_seq=17 ttl=63 time=8016 ms
64 bytes from 192.168.40.2: icmp_seq=18 ttl=63 time=8493 ms
64 bytes from 192.168.40.2: icmp_seq=19 ttl=63 time=9011 ms
64 bytes from 192.168.40.2: icmp_seq=20 ttl=63 time=9527 ms
64 bytes from 192.168.40.2: icmp_seq=21 ttl=63 time=9943 ms
64 bytes from 192.168.40.2: icmp_seq=22 ttl=63 time=10413 ms
64 bytes from 192.168.40.2: icmp_seq=23 ttl=63 time=10970 ms
64 bytes from 192.168.40.2: icmp_seq=24 ttl=63 time=11533 ms
64 bytes from 192.168.40.2: icmp_seq=25 ttl=63 time=11952 ms
64 bytes from 192.168.40.2: icmp_seq=26 ttl=63 time=12570 ms
64 bytes from 192.168.40.2: icmp_seq=27 ttl=63 time=12944 ms
64 bytes from 192.168.40.2: icmp_seq=28 ttl=63 time=13459 ms
