PING 192.168.30.2 (192.168.30.2) 56(84) bytes of data.
64 bytes from 192.168.30.2: icmp_seq=1 ttl=63 time=0.039 ms
64 bytes from 192.168.30.2: icmp_seq=2 ttl=63 time=877 ms
64 bytes from 192.168.30.2: icmp_seq=3 ttl=63 time=1397 ms
64 bytes from 192.168.30.2: icmp_seq=4 ttl=63 time=1477 ms
64 bytes from 192.168.30.2: icmp_seq=5 ttl=63 time=1523 ms
64 bytes from 192.168.30.2: icmp_seq=6 ttl=63 time=1610 ms
64 bytes from 192.168.30.2: icmp_seq=7 ttl=63 time=1821 ms
64 bytes from 192.168.30.2: icmp_seq=8 ttl=63 time=2148 ms
64 bytes from 192.168.30.2: icmp_seq=9 ttl=63 time=2664 ms
64 bytes from 192.168.30.2: icmp_seq=10 ttl=63 time=3214 ms
64 bytes from 192.168.30.2: icmp_seq=11 ttl=63 time=3709 ms
64 bytes from 192.168.30.2: icmp_seq=12 ttl=63 time=4171 ms
64 bytes from 192.168.30.2: icmp_seq=13 ttl=63 time=4685 ms
64 bytes from 192.168.30.2: icmp_seq=14 ttl=63 time=5153 ms
64 bytes from 192.168.30.2: icmp_seq=15 ttl=63 time=5690 ms
64 bytes from 192.168.30.2: icmp_seq=16 ttl=63 time=6181 ms
64 bytes from 192.168.30.2: icmp_seq=17 ttl=63 time=6657 ms
64 bytes from 192.168.30.2: icmp_seq=18 ttl=63 time=7194 ms
64 bytes from 192.168.30.2: icmp_seq=19 ttl=63 time=7655 ms
64 bytes from 192.168.30.2: icmp_seq=20 ttl=63 time=8197 ms
64 bytes from 192.168.30.2: icmp_seq=21 ttl=63 time=8685 ms
64 bytes from 192.168.30.2: icmp_seq=22 ttl=63 time=9185 ms
64 bytes from 192.168.30.2: icmp_seq=23 ttl=63 time=9628 ms
64 bytes from 192.168.30.2: icmp_seq=24 ttl=63 time=10155 ms
64 bytes from 192.168.30.2: icmp_seq=25 ttl=63 time=10736 ms
64 bytes from 192.168.30.2: icmp_seq=26 ttl=63 time=11226 ms
64 bytes from 192.168.30.2: icmp_seq=27 ttl=63 time=11670 ms
64 bytes from 192.168.30.2: icmp_seq=28 ttl=63 time=12221 ms
64 bytes from 192.168.30.2: icmp_seq=29 ttl=63 time=12736 ms
