PING 192.168.30.2 (192.168.30.2) 56(84) bytes of data.
64 bytes from 192.168.30.2: icmp_seq=1 ttl=63 time=895 ms
64 bytes from 192.168.30.2: icmp_seq=2 ttl=63 time=1462 ms
64 bytes from 192.168.30.2: icmp_seq=3 ttl=63 time=2262 ms
64 bytes from 192.168.30.2: icmp_seq=4 ttl=63 time=2733 ms
64 bytes from 192.168.30.2: icmp_seq=5 ttl=63 time=2812 ms
64 bytes from 192.168.30.2: icmp_seq=6 ttl=63 time=2867 ms
64 bytes from 192.168.30.2: icmp_seq=7 ttl=63 time=3007 ms
64 bytes from 192.168.30.2: icmp_seq=8 ttl=63 time=3432 ms
64 bytes from 192.168.30.2: icmp_seq=9 ttl=63 time=3999 ms
64 bytes from 192.168.30.2: icmp_seq=10 ttl=63 time=4366 ms
64 bytes from 192.168.30.2: icmp_seq=11 ttl=63 time=4924 ms
64 bytes from 192.168.30.2: icmp_seq=12 ttl=63 time=5538 ms
64 bytes from 192.168.30.2: icmp_seq=13 ttl=63 time=5960 ms
64 bytes from 192.168.30.2: icmp_seq=14 ttl=63 time=6379 ms
64 bytes from 192.168.30.2: icmp_seq=15 ttl=63 time=6941 ms
64 bytes from 192.168.30.2: icmp_seq=16 ttl=63 time=7411 ms
64 bytes from 192.168.30.2: icmp_seq=17 ttl=63 time=7881 ms
64 bytes from 192.168.30.2: icmp_seq=18 ttl=63 time=8539 ms
64 bytes from 192.168.30.2: icmp_seq=19 ttl=63 time=8962 ms
64 bytes from 192.168.30.2: icmp_seq=20 ttl=63 time=9424 ms
64 bytes from 192.168.30.2: icmp_seq=21 ttl=63 time=9988 ms
64 bytes from 192.168.30.2: icmp_seq=22 ttl=63 time=10458 ms
64 bytes from 192.168.30.2: icmp_seq=23 ttl=63 time=11014 ms
64 bytes from 192.168.30.2: icmp_seq=24 ttl=63 time=11391 ms
64 bytes from 192.168.30.2: icmp_seq=25 ttl=63 time=11869 ms
64 bytes from 192.168.30.2: icmp_seq=26 ttl=63 time=12426 ms
64 bytes from 192.168.30.2: icmp_seq=27 ttl=63 time=13037 ms
64 bytes from 192.168.30.2: icmp_seq=28 ttl=63 time=13412 ms
64 bytes from 192.168.30.2: icmp_seq=29 ttl=63 time=13969 ms
