PING 192.168.70.2 (192.168.70.2) 56(84) bytes of data.
64 bytes from 192.168.70.2: icmp_seq=1 ttl=63 time=0.030 ms
64 bytes from 192.168.70.2: icmp_seq=2 ttl=63 time=1037 ms
64 bytes from 192.168.70.2: icmp_seq=3 ttl=63 time=1806 ms
64 bytes from 192.168.70.2: icmp_seq=4 ttl=63 time=1894 ms
64 bytes from 192.168.70.2: icmp_seq=5 ttl=63 time=1926 ms
64 bytes from 192.168.70.2: icmp_seq=6 ttl=63 time=1847 ms
64 bytes from 192.168.70.2: icmp_seq=7 ttl=63 time=1805 ms
64 bytes from 192.168.70.2: icmp_seq=8 ttl=63 time=1814 ms
64 bytes from 192.168.70.2: icmp_seq=9 ttl=63 time=1821 ms
64 bytes from 192.168.70.2: icmp_seq=10 ttl=63 time=1815 ms
64 bytes from 192.168.70.2: icmp_seq=11 ttl=63 time=1804 ms
64 bytes from 192.168.70.2: icmp_seq=12 ttl=63 time=806 ms
64 bytes from 192.168.70.2: icmp_seq=13 ttl=63 time=1916 ms
