PING 192.168.30.2 (192.168.30.2) 56(84) bytes of data.
64 bytes from 192.168.30.2: icmp_seq=1 ttl=63 time=0.054 ms
64 bytes from 192.168.30.2: icmp_seq=2 ttl=63 time=1064 ms
64 bytes from 192.168.30.2: icmp_seq=3 ttl=63 time=1677 ms
64 bytes from 192.168.30.2: icmp_seq=4 ttl=63 time=1923 ms
64 bytes from 192.168.30.2: icmp_seq=5 ttl=63 time=1808 ms
64 bytes from 192.168.30.2: icmp_seq=6 ttl=63 time=1874 ms
64 bytes from 192.168.30.2: icmp_seq=7 ttl=63 time=1834 ms
64 bytes from 192.168.30.2: icmp_seq=8 ttl=63 time=1843 ms
64 bytes from 192.168.30.2: icmp_seq=9 ttl=63 time=1885 ms
64 bytes from 192.168.30.2: icmp_seq=10 ttl=63 time=1858 ms
64 bytes from 192.168.30.2: icmp_seq=11 ttl=63 time=1866 ms
64 bytes from 192.168.30.2: icmp_seq=12 ttl=63 time=869 ms
64 bytes from 192.168.30.2: icmp_seq=13 ttl=63 time=2300 ms
