PING 192.168.40.2 (192.168.40.2) 56(84) bytes of data.
64 bytes from 192.168.40.2: icmp_seq=1 ttl=63 time=0.037 ms
64 bytes from 192.168.40.2: icmp_seq=2 ttl=63 time=1110 ms
64 bytes from 192.168.40.2: icmp_seq=3 ttl=63 time=1722 ms
64 bytes from 192.168.40.2: icmp_seq=4 ttl=63 time=1811 ms
64 bytes from 192.168.40.2: icmp_seq=5 ttl=63 time=1696 ms
64 bytes from 192.168.40.2: icmp_seq=6 ttl=63 time=1775 ms
64 bytes from 192.168.40.2: icmp_seq=7 ttl=63 time=1843 ms
64 bytes from 192.168.40.2: icmp_seq=9 ttl=63 time=1698 ms
64 bytes from 192.168.40.2: icmp_seq=10 ttl=63 time=1745 ms
64 bytes from 192.168.40.2: icmp_seq=11 ttl=63 time=1534 ms
64 bytes from 192.168.40.2: icmp_seq=12 ttl=63 time=536 ms
64 bytes from 192.168.40.2: icmp_seq=13 ttl=63 time=2422 ms
