PING 192.168.70.2 (192.168.70.2) 56(84) bytes of data.
64 bytes from 192.168.70.2: icmp_seq=1 ttl=63 time=0.034 ms
64 bytes from 192.168.70.2: icmp_seq=2 ttl=63 time=88.6 ms
64 bytes from 192.168.70.2: icmp_seq=3 ttl=63 time=141 ms
64 bytes from 192.168.70.2: icmp_seq=4 ttl=63 time=158 ms
64 bytes from 192.168.70.2: icmp_seq=5 ttl=63 time=163 ms
64 bytes from 192.168.70.2: icmp_seq=6 ttl=63 time=169 ms
64 bytes from 192.168.70.2: icmp_seq=7 ttl=63 time=151 ms
64 bytes from 192.168.70.2: icmp_seq=8 ttl=63 time=186 ms
64 bytes from 192.168.70.2: icmp_seq=9 ttl=63 time=184 ms
64 bytes from 192.168.70.2: icmp_seq=10 ttl=63 time=201 ms
64 bytes from 192.168.70.2: icmp_seq=11 ttl=63 time=182 ms
64 bytes from 192.168.70.2: icmp_seq=12 ttl=63 time=210 ms
64 bytes from 192.168.70.2: icmp_seq=13 ttl=63 time=203 ms
64 bytes from 192.168.70.2: icmp_seq=14 ttl=63 time=208 ms
64 bytes from 192.168.70.2: icmp_seq=15 ttl=63 time=201 ms
64 bytes from 192.168.70.2: icmp_seq=16 ttl=63 time=218 ms
