"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"4","0.000641","192.168.2.2","192.168.1.2","TCP","74","43440","5001  >  44754 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2039467856 TSecr=1375727025 WS=512"
"7","0.000754","192.168.2.2","192.168.1.2","TCP","66","39936","5001  >  44754 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=2039467856 TSecr=1375727025"
"12","0.050194","192.168.2.2","192.168.1.2","TCP","66","39936","5001  >  44754 [ACK] Seq=1 Ack=14481 Win=39936 Len=0 TSval=2039467905 TSecr=1375727025"
"15","0.110344","192.168.2.2","192.168.1.2","TCP","66","38400","5001  >  44754 [ACK] Seq=1 Ack=24617 Win=38400 Len=0 TSval=2039467965 TSecr=1375727025"
"24","0.195166","192.168.2.2","192.168.1.2","TCP","66","40960","5001  >  44754 [ACK] Seq=1 Ack=28961 Win=40960 Len=0 TSval=2039468050 TSecr=1375727025"
"27","0.231884","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44754 [ACK] Seq=1 Ack=30409 Win=42496 Len=0 TSval=2039468087 TSecr=1375727038"
"30","0.243704","192.168.2.2","192.168.1.2","TCP","66","38912","5001  >  44754 [ACK] Seq=1 Ack=39097 Win=38912 Len=0 TSval=2039468099 TSecr=1375727074"
"33","0.316248","192.168.2.2","192.168.1.2","TCP","66","40960","5001  >  44754 [ACK] Seq=1 Ack=43441 Win=40960 Len=0 TSval=2039468171 TSecr=1375727102"
"39","0.353423","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=46337 Win=41984 Len=0 TSval=2039468208 TSecr=1375727134"
"41","0.376761","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=49233 Win=41984 Len=0 TSval=2039468232 TSecr=1375727134"
"43","0.401025","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44754 [ACK] Seq=1 Ack=50681 Win=42496 Len=0 TSval=2039468256 TSecr=1375727134"
"45","0.413154","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=53577 Win=41984 Len=0 TSval=2039468268 TSecr=1375727134"
"47","0.437656","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=56473 Win=41984 Len=0 TSval=2039468293 TSecr=1375727135"
"49","0.461556","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=59369 Win=41984 Len=0 TSval=2039468316 TSecr=1375727135"
"52","0.485806","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=62265 Win=41984 Len=0 TSval=2039468341 TSecr=1375727135"
"55","0.509995","192.168.2.2","192.168.1.2","TCP","78","42496","[TCP Window Update] 5001  >  44754 [ACK] Seq=1 Ack=62265 Win=42496 Len=0 TSval=2039468365 TSecr=1375727186 SLE=60817 SRE=62265"
"57","0.522196","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=65161 Win=41984 Len=0 TSval=2039468377 TSecr=1375727219"
"59","0.546465","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=68057 Win=41984 Len=0 TSval=2039468401 TSecr=1375727219"
"61","0.570896","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=70953 Win=41984 Len=0 TSval=2039468426 TSecr=1375727256"
"63","0.594779","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44754 [ACK] Seq=1 Ack=72401 Win=42496 Len=0 TSval=2039468450 TSecr=1375727256"
"65","0.607115","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=75297 Win=41984 Len=0 TSval=2039468462 TSecr=1375727268"
"67","0.631122","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44754 [ACK] Seq=1 Ack=78193 Win=41984 Len=0 TSval=2039468486 TSecr=1375727340"
"69","0.656118","192.168.2.2","192.168.1.2","TCP","66","48128","5001  >  44754 [ACK] Seq=1 Ack=81089 Win=48128 Len=0 TSval=2039468511 TSecr=1375727340"
"73","0.679623","192.168.2.2","192.168.1.2","TCP","66","54272","5001  >  44754 [ACK] Seq=1 Ack=83985 Win=54272 Len=0 TSval=2039468535 TSecr=1375727340"
"78","0.703794","192.168.2.2","192.168.1.2","TCP","66","59904","5001  >  44754 [ACK] Seq=1 Ack=86881 Win=59904 Len=0 TSval=2039468559 TSecr=1375727377"
"82","0.728608","192.168.2.2","192.168.1.2","TCP","66","65536","5001  >  44754 [ACK] Seq=1 Ack=89777 Win=65536 Len=0 TSval=2039468584 TSecr=1375727401"
"86","0.752237","192.168.2.2","192.168.1.2","TCP","66","71680","5001  >  44754 [ACK] Seq=1 Ack=92673 Win=71680 Len=0 TSval=2039468607 TSecr=1375727425"
"90","0.776642","192.168.2.2","192.168.1.2","TCP","66","74240","5001  >  44754 [ACK] Seq=1 Ack=94121 Win=74240 Len=0 TSval=2039468632 TSecr=1375727437"
"93","0.789334","192.168.2.2","192.168.1.2","TCP","66","80384","5001  >  44754 [ACK] Seq=1 Ack=97017 Win=80384 Len=0 TSval=2039468644 TSecr=1375727462"
"97","0.813338","192.168.2.2","192.168.1.2","TCP","66","86016","5001  >  44754 [ACK] Seq=1 Ack=99913 Win=86016 Len=0 TSval=2039468668 TSecr=1375727486"
"100","0.837786","192.168.2.2","192.168.1.2","TCP","66","91648","5001  >  44754 [ACK] Seq=1 Ack=102809 Win=91648 Len=0 TSval=2039468693 TSecr=1375727510"
"102","0.861257","192.168.2.2","192.168.1.2","TCP","66","95744","5001  >  44754 [ACK] Seq=1 Ack=104761 Win=95744 Len=0 TSval=2039468716 TSecr=1375727534"
"104","0.877929","192.168.2.2","192.168.1.2","TCP","66","98304","5001  >  44754 [ACK] Seq=1 Ack=106209 Win=98304 Len=0 TSval=2039468733 TSecr=1375727546"
"106","0.890739","192.168.2.2","192.168.1.2","TCP","66","104448","5001  >  44754 [ACK] Seq=1 Ack=109105 Win=104448 Len=0 TSval=2039468746 TSecr=1375727570"
"108","0.914275","192.168.2.2","192.168.1.2","TCP","66","110080","5001  >  44754 [ACK] Seq=1 Ack=112001 Win=110080 Len=0 TSval=2039468769 TSecr=1375727595"
