"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"99","0.837907","192.168.2.2","192.168.1.2","TCP","66","91648","5001  >  45814 [ACK] Seq=1 Ack=102809 Win=91648 Len=0 TSval=2324608293 TSecr=791236114"
"101","0.862662","192.168.2.2","192.168.1.2","TCP","66","95744","5001  >  45814 [ACK] Seq=1 Ack=104761 Win=95744 Len=0 TSval=2324608318 TSecr=791236138"
"105","0.879331","192.168.2.2","192.168.1.2","TCP","66","98304","5001  >  45814 [ACK] Seq=1 Ack=106209 Win=98304 Len=0 TSval=2324608335 TSecr=791236150"
"107","0.891808","192.168.2.2","192.168.1.2","TCP","66","104448","5001  >  45814 [ACK] Seq=1 Ack=109105 Win=104448 Len=0 TSval=2324608347 TSecr=791236174"
"109","0.916352","192.168.2.2","192.168.1.2","TCP","66","110080","5001  >  45814 [ACK] Seq=1 Ack=112001 Win=110080 Len=0 TSval=2324608372 TSecr=791236199"
"111","0.939890","192.168.2.2","192.168.1.2","TCP","66","115712","5001  >  45814 [ACK] Seq=1 Ack=114897 Win=115712 Len=0 TSval=2324608395 TSecr=791236222"
"113","0.964348","192.168.2.2","192.168.1.2","TCP","66","118784","5001  >  45814 [ACK] Seq=1 Ack=115841 Win=118784 Len=0 TSval=2324608420 TSecr=791236234"
"115","0.972181","192.168.2.2","192.168.1.2","TCP","66","124416","5001  >  45814 [ACK] Seq=1 Ack=118737 Win=124416 Len=0 TSval=2324608427 TSecr=791236259"
"117","0.996696","192.168.2.2","192.168.1.2","TCP","66","130560","5001  >  45814 [ACK] Seq=1 Ack=121633 Win=130560 Len=0 TSval=2324608452 TSecr=791236283"
"120","1.021215","192.168.2.2","192.168.1.2","TCP","66","136192","5001  >  45814 [ACK] Seq=1 Ack=124529 Win=136192 Len=0 TSval=2324608476 TSecr=791236283"
"122","1.044853","192.168.2.2","192.168.1.2","TCP","66","141824","5001  >  45814 [ACK] Seq=1 Ack=127425 Win=141824 Len=0 TSval=2324608500 TSecr=791236283"
"125","1.069191","192.168.2.2","192.168.1.2","TCP","66","147968","5001  >  45814 [ACK] Seq=1 Ack=130321 Win=147968 Len=0 TSval=2324608524 TSecr=791236308"
"127","1.093722","192.168.2.2","192.168.1.2","TCP","66","153600","5001  >  45814 [ACK] Seq=1 Ack=133217 Win=153600 Len=0 TSval=2324608549 TSecr=791236308"
"129","1.118215","192.168.2.2","192.168.1.2","TCP","66","159232","5001  >  45814 [ACK] Seq=1 Ack=136113 Win=159232 Len=0 TSval=2324608573 TSecr=791236308"
"131","1.141752","192.168.2.2","192.168.1.2","TCP","66","162304","5001  >  45814 [ACK] Seq=1 Ack=137561 Win=162304 Len=0 TSval=2324608597 TSecr=791236308"
