"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"81","0.789279","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=98465 Win=42496 Len=0 TSval=2037469625 TSecr=1373728722"
"83","0.814246","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=101361 Win=42496 Len=0 TSval=2037469650 TSecr=1373728746"
"85","0.849842","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=105705 Win=42496 Len=0 TSval=2037469686 TSecr=1373728746"
"87","0.874081","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=108601 Win=42496 Len=0 TSval=2037469710 TSecr=1373728795"
"90","0.898278","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=111497 Win=42496 Len=0 TSval=2037469734 TSecr=1373728819"
"92","0.922547","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=114393 Win=42496 Len=0 TSval=2037469759 TSecr=1373728855"
"94","0.947486","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=117289 Win=42496 Len=0 TSval=2037469784 TSecr=1373728879"
"97","0.970951","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=120185 Win=42496 Len=0 TSval=2037469807 TSecr=1373728903"
"100","0.995466","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=123081 Win=42496 Len=0 TSval=2037469832 TSecr=1373728928"
"102","1.020025","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=125977 Win=42496 Len=0 TSval=2037469856 TSecr=1373728953"
"105","1.056250","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=130321 Win=42496 Len=0 TSval=2037469892 TSecr=1373728970"
"108","1.080042","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=133217 Win=42496 Len=0 TSval=2037469916 TSecr=1373729001"
"110","1.104248","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=136113 Win=42496 Len=0 TSval=2037469940 TSecr=1373729025"
"113","1.129180","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=139009 Win=42496 Len=0 TSval=2037469965 TSecr=1373729061"
"115","1.153417","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=141905 Win=42496 Len=0 TSval=2037469989 TSecr=1373729061"
"117","1.177773","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=144801 Win=42496 Len=0 TSval=2037470014 TSecr=1373729085"
"119","1.202296","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=147697 Win=42496 Len=0 TSval=2037470038 TSecr=1373729109"
"121","1.226777","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=150593 Win=42496 Len=0 TSval=2037470063 TSecr=1373729134"
"123","1.262422","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=154937 Win=42496 Len=0 TSval=2037470098 TSecr=1373729158"
"126","1.287932","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=157833 Win=42496 Len=0 TSval=2037470124 TSecr=1373729207"
"128","1.313038","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=160729 Win=42496 Len=0 TSval=2037470149 TSecr=1373729232"
"130","1.336549","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=163625 Win=42496 Len=0 TSval=2037470172 TSecr=1373729267"
"132","1.361025","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=166521 Win=42496 Len=0 TSval=2037470197 TSecr=1373729267"
"135","1.384848","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=169417 Win=42496 Len=0 TSval=2037470221 TSecr=1373729293"
"137","1.409065","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=172313 Win=42496 Len=0 TSval=2037470245 TSecr=1373729318"
"139","1.445406","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=176657 Win=42496 Len=0 TSval=2037470281 TSecr=1373729342"
"141","1.469846","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=179553 Win=42496 Len=0 TSval=2037470306 TSecr=1373729366"
"144","1.493844","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=182449 Win=42496 Len=0 TSval=2037470330 TSecr=1373729390"
"146","1.518095","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=185345 Win=42496 Len=0 TSval=2037470354 TSecr=1373729414"
"149","1.542415","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=188241 Win=42496 Len=0 TSval=2037470378 TSecr=1373729450"
"151","1.566863","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=191137 Win=42496 Len=0 TSval=2037470403 TSecr=1373729475"
"153","1.603133","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=195481 Win=42496 Len=0 TSval=2037470439 TSecr=1373729479"
"155","1.627077","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=198377 Win=42496 Len=0 TSval=2037470463 TSecr=1373729523"
"157","1.651354","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=201273 Win=42496 Len=0 TSval=2037470487 TSecr=1373729547"
"159","1.675604","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=204169 Win=42496 Len=0 TSval=2037470511 TSecr=1373729572"
"162","1.700467","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=207065 Win=42496 Len=0 TSval=2037470536 TSecr=1373729608"
"164","1.724703","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=209961 Win=42496 Len=0 TSval=2037470560 TSecr=1373729632"
"168","1.749144","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=212857 Win=42496 Len=0 TSval=2037470585 TSecr=1373729656"
