"No.","Time","Source","Destination","Protocol","Length","Window size scaling factor","Calculated window size","Info"
"13059","14.757846","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167194769 Win=360960 Len=0 TSval=3824111079 TSecr=3459220774"
"13061","14.760659","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167225177 Win=360960 Len=0 TSval=3824111082 TSecr=3459220774"
"13063","14.763562","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167229521 Win=360960 Len=0 TSval=3824111085 TSecr=3459220777"
"13065","14.763817","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167261377 Win=360960 Len=0 TSval=3824111085 TSecr=3459220777"
"13067","14.766518","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167293233 Win=360960 Len=0 TSval=3824111088 TSecr=3459220780"
"13070","14.769466","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167327985 Win=360960 Len=0 TSval=3824111091 TSecr=3459220783"
"13072","14.772380","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167359841 Win=360960 Len=0 TSval=3824111094 TSecr=3459220786"
"13074","14.775324","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167393145 Win=360960 Len=0 TSval=3824111097 TSecr=3459220789"
"13076","14.778264","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167425001 Win=360960 Len=0 TSval=3824111100 TSecr=3459220792"
"13078","14.781197","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167458305 Win=360960 Len=0 TSval=3824111102 TSecr=3459220792"
"13080","14.783873","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167490161 Win=360960 Len=0 TSval=3824111105 TSecr=3459220798"
"13082","14.786544","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167523465 Win=360960 Len=0 TSval=3824111108 TSecr=3459220798"
"13084","14.789325","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167555321 Win=360960 Len=0 TSval=3824111111 TSecr=3459220803"
"13086","14.792026","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167587177 Win=360960 Len=0 TSval=3824111113 TSecr=3459220806"
"13088","14.794913","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167617585 Win=360960 Len=0 TSval=3824111116 TSecr=3459220809"
"13091","14.797444","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167620481 Win=360960 Len=0 TSval=3824111119 TSecr=3459220811"
"13093","14.797842","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167652337 Win=360960 Len=0 TSval=3824111119 TSecr=3459220814"
"13095","14.801135","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167684193 Win=360960 Len=0 TSval=3824111122 TSecr=3459220814"
"13098","14.803826","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167720393 Win=360960 Len=0 TSval=3824111125 TSecr=3459220817"
"13100","14.806706","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167750801 Win=360960 Len=0 TSval=3824111128 TSecr=3459220820"
"13102","14.809257","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167785553 Win=360960 Len=0 TSval=3824111131 TSecr=3459220820"
"13104","14.812172","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167815961 Win=360960 Len=0 TSval=3824111133 TSecr=3459220826"
"13106","14.814716","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167849265 Win=360960 Len=0 TSval=3824111136 TSecr=3459220826"
"13108","14.817472","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167881121 Win=360960 Len=0 TSval=3824111139 TSecr=3459220831"
"13110","14.820428","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167912977 Win=360960 Len=0 TSval=3824111142 TSecr=3459220834"
"13112","14.824852","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167946281 Win=360960 Len=0 TSval=3824111146 TSecr=3459220834"
"13114","14.826402","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=167978137 Win=360960 Len=0 TSval=3824111148 TSecr=3459220840"
"13117","14.829183","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168008545 Win=360960 Len=0 TSval=3824111150 TSecr=3459220845"
"13120","14.831604","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168011441 Win=360960 Len=0 TSval=3824111153 TSecr=3459220848"
"13121","14.831844","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168041849 Win=360960 Len=0 TSval=3824111153 TSecr=3459220848"
"13123","14.834392","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168072257 Win=360960 Len=0 TSval=3824111156 TSecr=3459220848"
"13126","14.836973","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168076601 Win=360960 Len=0 TSval=3824111158 TSecr=3459220851"
"13127","14.837412","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168108457 Win=360960 Len=0 TSval=3824111159 TSecr=3459220851"
"13129","14.840036","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168140313 Win=360960 Len=0 TSval=3824111161 TSecr=3459220853"
"13132","14.842924","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168177961 Win=360960 Len=0 TSval=3824111164 TSecr=3459220856"
"13134","14.846037","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168206921 Win=360960 Len=0 TSval=3824111167 TSecr=3459220859"
"13136","14.848421","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168243121 Win=360960 Len=0 TSval=3824111170 TSecr=3459220859"
"13138","14.851395","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168272081 Win=360960 Len=0 TSval=3824111173 TSecr=3459220865"
"13140","14.853882","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168306833 Win=360960 Len=0 TSval=3824111175 TSecr=3459220865"
"13142","14.856769","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168337241 Win=360960 Len=0 TSval=3824111178 TSecr=3459220871"
"13144","14.859348","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168369097 Win=360960 Len=0 TSval=3824111181 TSecr=3459220873"
"13146","14.862576","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168402401 Win=360960 Len=0 TSval=3824111184 TSecr=3459220873"
"13148","14.865449","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168434257 Win=360960 Len=0 TSval=3824111187 TSecr=3459220879"
"13151","14.868098","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168467561 Win=360960 Len=0 TSval=3824111189 TSecr=3459220882"
"13153","14.871320","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168497969 Win=360960 Len=0 TSval=3824111193 TSecr=3459220885"
"13156","14.873866","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168531273 Win=360960 Len=0 TSval=3824111195 TSecr=3459220887"
"13159","14.876655","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168564577 Win=360960 Len=0 TSval=3824111198 TSecr=3459220893"
"13161","14.879326","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168596433 Win=360960 Len=0 TSval=3824111201 TSecr=3459220893"
"13164","14.882097","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168632633 Win=360960 Len=0 TSval=3824111203 TSecr=3459220896"
"13166","14.885048","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168663041 Win=360960 Len=0 TSval=3824111206 TSecr=3459220899"
"13168","14.887962","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168697793 Win=360960 Len=0 TSval=3824111209 TSecr=3459220899"
"13170","14.890782","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168728201 Win=360960 Len=0 TSval=3824111212 TSecr=3459220904"
"13172","14.893855","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168762953 Win=360960 Len=0 TSval=3824111215 TSecr=3459220904"
"13174","14.896778","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168793361 Win=360960 Len=0 TSval=3824111218 TSecr=3459220910"
"13176","14.899758","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168825217 Win=360960 Len=0 TSval=3824111221 TSecr=3459220913"
"13178","14.902680","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168858521 Win=360960 Len=0 TSval=3824111224 TSecr=3459220913"
"13180","14.905618","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168888929 Win=360960 Len=0 TSval=3824111227 TSecr=3459220919"
"13182","14.908559","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168891825 Win=360960 Len=0 TSval=3824111230 TSecr=3459220922"
"13184","14.908711","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168923681 Win=360960 Len=0 TSval=3824111230 TSecr=3459220922"
"13186","14.911483","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168952641 Win=360960 Len=0 TSval=3824111233 TSecr=3459220925"
"13188","14.914405","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168955537 Win=360960 Len=0 TSval=3824111236 TSecr=3459220928"
"13190","14.914556","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168985945 Win=360960 Len=0 TSval=3824111236 TSecr=3459220928"
"13192","14.917344","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=168988841 Win=360960 Len=0 TSval=3824111239 TSecr=3459220934"
"13194","14.917485","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169020697 Win=360960 Len=0 TSval=3824111239 TSecr=3459220934"
"13196","14.920349","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169052553 Win=360960 Len=0 TSval=3824111242 TSecr=3459220934"
"13199","14.923252","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169087305 Win=360960 Len=0 TSval=3824111245 TSecr=3459220937"
"13201","14.926193","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169119161 Win=360960 Len=0 TSval=3824111247 TSecr=3459220940"
"13203","14.929106","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169155361 Win=360960 Len=0 TSval=3824111250 TSecr=3459220940"
"13205","14.932029","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169184321 Win=360960 Len=0 TSval=3824111253 TSecr=3459220945"
"13207","14.934521","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169219073 Win=360960 Len=0 TSval=3824111256 TSecr=3459220945"
"13209","14.937940","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169249481 Win=360960 Len=0 TSval=3824111259 TSecr=3459220951"
"13211","14.940883","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169282785 Win=360960 Len=0 TSval=3824111262 TSecr=3459220951"
"13213","14.943821","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169314641 Win=360960 Len=0 TSval=3824111265 TSecr=3459220957"
"13215","14.946383","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169346497 Win=360960 Len=0 TSval=3824111268 TSecr=3459220960"
"13217","14.949077","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169376905 Win=360960 Len=0 TSval=3824111270 TSecr=3459220963"
"13221","14.951799","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169379801 Win=360960 Len=0 TSval=3824111273 TSecr=3459220968"
"13222","14.951836","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169410209 Win=360960 Len=0 TSval=3824111273 TSecr=3459220968"
"13224","14.954625","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169440617 Win=360960 Len=0 TSval=3824111276 TSecr=3459220968"
"13226","14.957510","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169444961 Win=360960 Len=0 TSval=3824111279 TSecr=3459220971"
"13228","14.957776","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169478265 Win=360960 Len=0 TSval=3824111279 TSecr=3459220971"
"13230","14.960579","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169510121 Win=360960 Len=0 TSval=3824111282 TSecr=3459220974"
"13232","14.963916","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169546321 Win=360960 Len=0 TSval=3824111285 TSecr=3459220974"
"13234","14.966865","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169575281 Win=360960 Len=0 TSval=3824111288 TSecr=3459220980"
"13236","14.969260","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169610033 Win=360960 Len=0 TSval=3824111291 TSecr=3459220980"
"13238","14.972162","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169640441 Win=360960 Len=0 TSval=3824111293 TSecr=3459220986"
"13240","14.974704","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169672297 Win=360960 Len=0 TSval=3824111296 TSecr=3459220989"
"13242","14.977638","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169704153 Win=360960 Len=0 TSval=3824111299 TSecr=3459220989"
"13245","14.980588","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169737457 Win=360960 Len=0 TSval=3824111302 TSecr=3459220997"
"13247","14.983247","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169769313 Win=360960 Len=0 TSval=3824111305 TSecr=3459220997"
"13250","14.986404","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169802617 Win=360960 Len=0 TSval=3824111308 TSecr=3459221000"
"13252","14.989384","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169834473 Win=360960 Len=0 TSval=3824111311 TSecr=3459221003"
"13255","14.992313","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169869225 Win=360960 Len=0 TSval=3824111314 TSecr=3459221006"
"13257","14.995256","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169901081 Win=360960 Len=0 TSval=3824111317 TSecr=3459221009"
"13259","14.998201","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169934385 Win=360960 Len=0 TSval=3824111319 TSecr=3459221012"
"13261","15.000895","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169966241 Win=360960 Len=0 TSval=3824111322 TSecr=3459221015"
"13263","15.003557","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=169999545 Win=360960 Len=0 TSval=3824111325 TSecr=3459221015"
"13265","15.006358","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170031401 Win=360960 Len=0 TSval=3824111328 TSecr=3459221020"
"13267","15.008983","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170064705 Win=360960 Len=0 TSval=3824111330 TSecr=3459221020"
"13269","15.011902","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170096561 Win=360960 Len=0 TSval=3824111333 TSecr=3459221026"
"13271","15.014864","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170128417 Win=360960 Len=0 TSval=3824111336 TSecr=3459221028"
"13273","15.017791","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170158825 Win=360960 Len=0 TSval=3824111339 TSecr=3459221031"
"13276","15.020776","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170161721 Win=360960 Len=0 TSval=3824111342 TSecr=3459221034"
"13278","15.020894","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170193577 Win=360960 Len=0 TSval=3824111342 TSecr=3459221037"
"13280","15.023553","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170225433 Win=360960 Len=0 TSval=3824111345 TSecr=3459221037"
"13283","15.026628","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170260185 Win=360960 Len=0 TSval=3824111348 TSecr=3459221040"
"13285","15.029580","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170292041 Win=360960 Len=0 TSval=3824111351 TSecr=3459221043"
"13287","15.032472","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170325345 Win=360960 Len=0 TSval=3824111354 TSecr=3459221046"
"13289","15.035419","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170357201 Win=360960 Len=0 TSval=3824111357 TSecr=3459221049"
"13291","15.037972","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170390505 Win=360960 Len=0 TSval=3824111359 TSecr=3459221049"
"13293","15.040796","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170422361 Win=360960 Len=0 TSval=3824111362 TSecr=3459221055"
"13295","15.043429","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170455665 Win=360960 Len=0 TSval=3824111365 TSecr=3459221055"
"13299","15.046230","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170487521 Win=360960 Len=0 TSval=3824111368 TSecr=3459221060"
"13301","15.048884","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170519377 Win=360960 Len=0 TSval=3824111370 TSecr=3459221063"
"13303","15.051586","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170549785 Win=360960 Len=0 TSval=3824111373 TSecr=3459221065"
"13306","15.054207","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170552681 Win=360960 Len=0 TSval=3824111375 TSecr=3459221068"
"13308","15.054345","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170584537 Win=360960 Len=0 TSval=3824111376 TSecr=3459221071"
"13310","15.056997","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170616393 Win=360960 Len=0 TSval=3824111378 TSecr=3459221071"
"13313","15.059938","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170651145 Win=360960 Len=0 TSval=3824111381 TSecr=3459221074"
"13315","15.062894","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170683001 Win=360960 Len=0 TSval=3824111384 TSecr=3459221076"
"13317","15.065809","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170717753 Win=360960 Len=0 TSval=3824111387 TSecr=3459221076"
"13319","15.068753","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170748161 Win=360960 Len=0 TSval=3824111390 TSecr=3459221082"
"13321","15.071649","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170782913 Win=360960 Len=0 TSval=3824111393 TSecr=3459221082"
"13323","15.074447","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170813321 Win=360960 Len=0 TSval=3824111396 TSecr=3459221088"
"13325","15.077539","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170846625 Win=360960 Len=0 TSval=3824111399 TSecr=3459221088"
"13327","15.080487","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170877033 Win=360960 Len=0 TSval=3824111402 TSecr=3459221094"
"13330","15.083409","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170910337 Win=360960 Len=0 TSval=3824111405 TSecr=3459221097"
"13332","15.086353","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170940745 Win=360960 Len=0 TSval=3824111408 TSecr=3459221100"
"13335","15.088904","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170943641 Win=360960 Len=0 TSval=3824111410 TSecr=3459221106"
"13337","15.089298","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=170974049 Win=360960 Len=0 TSval=3824111411 TSecr=3459221106"
"13339","15.092241","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171004457 Win=360960 Len=0 TSval=3824111414 TSecr=3459221106"
"13341","15.094673","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171008801 Win=360960 Len=0 TSval=3824111416 TSecr=3459221109"
"13343","15.095026","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171042105 Win=360960 Len=0 TSval=3824111416 TSecr=3459221109"
"13345","15.098117","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171073961 Win=360960 Len=0 TSval=3824111419 TSecr=3459221112"
"13347","15.101403","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171108713 Win=360960 Len=0 TSval=3824111423 TSecr=3459221114"
"13349","15.104195","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171139121 Win=360960 Len=0 TSval=3824111425 TSecr=3459221117"
"13351","15.106924","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171173873 Win=360960 Len=0 TSval=3824111428 TSecr=3459221117"
"13353","15.109867","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171204281 Win=360960 Len=0 TSval=3824111431 TSecr=3459221123"
"13355","15.112291","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171237585 Win=360960 Len=0 TSval=3824111434 TSecr=3459221123"
"13357","15.115080","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171269441 Win=360960 Len=0 TSval=3824111436 TSecr=3459221129"
"13359","15.117762","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171301297 Win=360960 Len=0 TSval=3824111439 TSecr=3459221132"
"13361","15.120661","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171331705 Win=360960 Len=0 TSval=3824111442 TSecr=3459221134"
"13364","15.123562","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171334601 Win=360960 Len=0 TSval=3824111445 TSecr=3459221137"
"13366","15.123694","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171366457 Win=360960 Len=0 TSval=3824111445 TSecr=3459221140"
"13368","15.126360","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171398313 Win=360960 Len=0 TSval=3824111448 TSecr=3459221140"
"13371","15.129466","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171434513 Win=360960 Len=0 TSval=3824111451 TSecr=3459221143"
"13373","15.132396","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171464921 Win=360960 Len=0 TSval=3824111454 TSecr=3459221146"
"13375","15.135259","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171499673 Win=360960 Len=0 TSval=3824111457 TSecr=3459221146"
"13377","15.138042","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=171530081 Win=360960 Len=0 TSval=3824111459 TSecr=3459221152"
