PING 192.168.20.2 (192.168.20.2) 56(84) bytes of data.
64 bytes from 192.168.20.2: icmp_seq=1 ttl=63 time=447 ms
64 bytes from 192.168.20.2: icmp_seq=2 ttl=63 time=709 ms
64 bytes from 192.168.20.2: icmp_seq=3 ttl=63 time=1410 ms
64 bytes from 192.168.20.2: icmp_seq=4 ttl=63 time=1508 ms
64 bytes from 192.168.20.2: icmp_seq=5 ttl=63 time=1532 ms
64 bytes from 192.168.20.2: icmp_seq=6 ttl=63 time=1599 ms
64 bytes from 192.168.20.2: icmp_seq=7 ttl=63 time=1811 ms
64 bytes from 192.168.20.2: icmp_seq=8 ttl=63 time=2172 ms
64 bytes from 192.168.20.2: icmp_seq=9 ttl=63 time=2683 ms
64 bytes from 192.168.20.2: icmp_seq=10 ttl=63 time=3153 ms
64 bytes from 192.168.20.2: icmp_seq=11 ttl=63 time=3743 ms
64 bytes from 192.168.20.2: icmp_seq=12 ttl=63 time=4184 ms
64 bytes from 192.168.20.2: icmp_seq=13 ttl=63 time=4643 ms
64 bytes from 192.168.20.2: icmp_seq=14 ttl=63 time=5187 ms
64 bytes from 192.168.20.2: icmp_seq=15 ttl=63 time=5725 ms
64 bytes from 192.168.20.2: icmp_seq=16 ttl=63 time=6186 ms
64 bytes from 192.168.20.2: icmp_seq=17 ttl=63 time=6730 ms
64 bytes from 192.168.20.2: icmp_seq=18 ttl=63 time=7024 ms
64 bytes from 192.168.20.2: icmp_seq=19 ttl=63 time=7704 ms
64 bytes from 192.168.20.2: icmp_seq=20 ttl=63 time=8265 ms
64 bytes from 192.168.20.2: icmp_seq=21 ttl=63 time=8764 ms
64 bytes from 192.168.20.2: icmp_seq=22 ttl=63 time=9282 ms
64 bytes from 192.168.20.2: icmp_seq=23 ttl=63 time=9701 ms
64 bytes from 192.168.20.2: icmp_seq=24 ttl=63 time=10205 ms
64 bytes from 192.168.20.2: icmp_seq=25 ttl=63 time=10696 ms
64 bytes from 192.168.20.2: icmp_seq=26 ttl=63 time=11205 ms
64 bytes from 192.168.20.2: icmp_seq=27 ttl=63 time=11719 ms
64 bytes from 192.168.20.2: icmp_seq=28 ttl=63 time=12268 ms
64 bytes from 192.168.20.2: icmp_seq=29 ttl=63 time=12712 ms
