No.,,Time,Source,Destination,Length,Window size scaling factor,Calculated window size
11639,7.223261069,12.92326107,192.168.2.2,192.168.1.2,66,512,631296
11641,7.224590872,12.92459087,192.168.2.2,192.168.1.2,66,512,631296
11642,7.225192408,12.92519241,192.168.2.2,192.168.1.2,66,512,631296
11645,7.226525539,12.92652554,192.168.2.2,192.168.1.2,66,512,631296
11646,7.227857139,12.92785714,192.168.2.2,192.168.1.2,66,512,631296
11648,7.228707622,12.92870762,192.168.2.2,192.168.1.2,66,512,631296
11650,7.230490453,12.93049045,192.168.2.2,192.168.1.2,66,512,631296
11653,7.232120333,12.93212033,192.168.2.2,192.168.1.2,66,512,631296
11655,7.233796244,12.93379624,192.168.2.2,192.168.1.2,66,512,631296
11656,7.234157268,12.93415727,192.168.2.2,192.168.1.2,66,512,631296
11658,7.235850137,12.93585014,192.168.2.2,192.168.1.2,66,512,631296
11661,7.237547726,12.93754773,192.168.2.2,192.168.1.2,66,512,631296
11663,7.239249615,12.93924962,192.168.2.2,192.168.1.2,66,512,631296
11664,7.239648865,12.93964887,192.168.2.2,192.168.1.2,66,512,631296
11666,7.241311139,12.94131114,192.168.2.2,192.168.1.2,66,512,631296
11669,7.242875603,12.9428756,192.168.2.2,192.168.1.2,66,512,631296
11671,7.244207866,12.94420787,192.168.2.2,192.168.1.2,66,512,631296
11672,7.245058071,12.94505807,192.168.2.2,192.168.1.2,66,512,631296
11674,7.246387135,12.94638714,192.168.2.2,192.168.1.2,66,512,631296
11676,7.247719972,12.94771997,192.168.2.2,192.168.1.2,66,512,631296
11679,7.249057538,12.94905754,192.168.2.2,192.168.1.2,66,512,631296
11681,7.250505418,12.95050542,192.168.2.2,192.168.1.2,66,512,631296
11684,7.252201442,12.95220144,192.168.2.2,192.168.1.2,66,512,631296
11686,7.253896761,12.95389676,192.168.2.2,192.168.1.2,66,512,631296
11687,7.254381934,12.95438193,192.168.2.2,192.168.1.2,66,512,631296
11689,7.256000344,12.95600034,192.168.2.2,192.168.1.2,66,512,631296
11691,7.257673773,12.95767377,192.168.2.2,192.168.1.2,66,512,631296
11694,7.259354162,12.95935416,192.168.2.2,192.168.1.2,66,512,631296
11696,7.261045261,12.96104526,192.168.2.2,192.168.1.2,66,512,631296
11697,7.261407141,12.96140714,192.168.2.2,192.168.1.2,66,512,631296
11699,7.263102747,12.96310275,192.168.2.2,192.168.1.2,66,512,631296
11702,7.264694493,12.96469449,192.168.2.2,192.168.1.2,66,512,631296
11704,7.265904945,12.96590495,192.168.2.2,192.168.1.2,66,512,631296
11706,7.266877072,12.96687707,192.168.2.2,192.168.1.2,66,512,631296
11708,7.268080235,12.96808024,192.168.2.2,192.168.1.2,66,512,631296
11709,7.268555412,12.96855541,192.168.2.2,192.168.1.2,66,512,631296
11711,7.269764962,12.96976496,192.168.2.2,192.168.1.2,66,512,631296
11714,7.270978414,12.97097841,192.168.2.2,192.168.1.2,66,512,631296
11716,7.272317449,12.97231745,192.168.2.2,192.168.1.2,66,512,631296
11718,7.273888252,12.97388825,192.168.2.2,192.168.1.2,66,512,631296
11721,7.275455847,12.97545585,192.168.2.2,192.168.1.2,66,512,631296
11723,7.27703358,12.97703358,192.168.2.2,192.168.1.2,66,512,631296
11724,7.277758176,12.97775818,192.168.2.2,192.168.1.2,66,512,631296
11727,7.278968686,12.97896869,192.168.2.2,192.168.1.2,66,512,631296
11729,7.280229892,12.98022989,192.168.2.2,192.168.1.2,66,512,631296
11731,7.280918238,12.98091824,192.168.2.2,192.168.1.2,66,512,631296
11733,7.282135466,12.98213547,192.168.2.2,192.168.1.2,66,512,631296
11734,7.283238864,12.98323886,192.168.2.2,192.168.1.2,66,512,631296
11736,7.284440874,12.98444087,192.168.2.2,192.168.1.2,66,512,631296
11738,7.285882343,12.98588234,192.168.2.2,192.168.1.2,66,512,631296
11741,7.28733918,12.98733918,192.168.2.2,192.168.1.2,66,512,631296
11743,7.288660601,12.9886606,192.168.2.2,192.168.1.2,66,512,631296
11744,7.289030247,12.98903025,192.168.2.2,192.168.1.2,66,512,631296
11747,7.290263763,12.99026376,192.168.2.2,192.168.1.2,66,512,631296
11749,7.291447943,12.99144794,192.168.2.2,192.168.1.2,66,512,631296
11751,7.292535292,12.99253529,192.168.2.2,192.168.1.2,66,512,631296
11753,7.293751574,12.99375157,192.168.2.2,192.168.1.2,66,512,631296
11754,7.294112111,12.99411211,192.168.2.2,192.168.1.2,66,512,631296
11756,7.295321201,12.9953212,192.168.2.2,192.168.1.2,66,512,631296
11758,7.296775182,12.99677518,192.168.2.2,192.168.1.2,66,512,631296
11760,7.298229684,12.99822968,192.168.2.2,192.168.1.2,66,512,631296
11762,7.299565897,12.9995659,192.168.2.2,192.168.1.2,66,512,631296
11765,7.300892093,13.00089209,192.168.2.2,192.168.1.2,66,512,631296
11767,7.301981908,13.00198191,192.168.2.2,192.168.1.2,66,512,631296
11769,7.303073426,13.00307343,192.168.2.2,192.168.1.2,66,512,631296
11771,7.304163997,13.004164,192.168.2.2,192.168.1.2,66,512,631296
11773,7.305051359,13.00505136,192.168.2.2,192.168.1.2,66,512,631296
11775,7.306135255,13.00613526,192.168.2.2,192.168.1.2,66,512,631296
11776,7.307206057,13.00720606,192.168.2.2,192.168.1.2,66,512,631296
11779,7.308490466,13.00849047,192.168.2.2,192.168.1.2,66,512,631296
11781,7.30969028,13.00969028,192.168.2.2,192.168.1.2,66,512,631296
11782,7.310535532,13.01053553,192.168.2.2,192.168.1.2,66,512,631296
11784,7.311868241,13.01186824,192.168.2.2,192.168.1.2,66,512,631296
11786,7.313201787,13.01320179,192.168.2.2,192.168.1.2,66,512,631296
11789,7.314553704,13.0145537,192.168.2.2,192.168.1.2,66,512,631296
11791,7.315987597,13.0159876,192.168.2.2,192.168.1.2,66,512,631296
11794,7.317317515,13.01731752,192.168.2.2,192.168.1.2,66,512,631296
11796,7.31840729,13.01840729,192.168.2.2,192.168.1.2,66,512,631296
11798,7.319500844,13.01950084,192.168.2.2,192.168.1.2,66,512,631296
11800,7.320586878,13.02058688,192.168.2.2,192.168.1.2,66,512,631296
11802,7.321434969,13.02143497,192.168.2.2,192.168.1.2,66,512,631296
11804,7.322527735,13.02252774,192.168.2.2,192.168.1.2,66,512,631296
11806,7.323617484,13.02361748,192.168.2.2,192.168.1.2,66,512,631296
11807,7.323982115,13.02398212,192.168.2.2,192.168.1.2,66,512,631296
11810,7.325314494,13.02531449,192.168.2.2,192.168.1.2,66,512,631296
11812,7.326644398,13.0266444,192.168.2.2,192.168.1.2,66,512,631296
11814,7.326885475,13.02688548,192.168.2.2,192.168.1.2,66,512,631296
11816,7.327977639,13.02797764,192.168.2.2,192.168.1.2,66,512,631296
11818,7.329164894,13.02916489,192.168.2.2,192.168.1.2,66,512,631296
11820,7.330190597,13.0301906,192.168.2.2,192.168.1.2,66,512,631296
11822,7.331251033,13.03125103,192.168.2.2,192.168.1.2,66,512,631296
11823,7.332339548,13.03233955,192.168.2.2,192.168.1.2,66,512,631296
11825,7.333668051,13.03366805,192.168.2.2,192.168.1.2,66,512,631296
11828,7.335001976,13.03500198,192.168.2.2,192.168.1.2,66,512,631296
11830,7.336454704,13.0364547,192.168.2.2,192.168.1.2,66,512,631296
11833,7.33778705,13.03778705,192.168.2.2,192.168.1.2,66,512,631296
11835,7.33888144,13.03888144,192.168.2.2,192.168.1.2,66,512,631296
11837,7.339994973,13.03999497,192.168.2.2,192.168.1.2,66,512,631296
11839,7.341069147,13.04106915,192.168.2.2,192.168.1.2,66,512,631296
11841,7.342150934,13.04215093,192.168.2.2,192.168.1.2,66,512,631296
11843,7.343239887,13.04323989,192.168.2.2,192.168.1.2,66,512,631296
11845,7.344333742,13.04433374,192.168.2.2,192.168.1.2,66,512,631296
11846,7.345426116,13.04542612,192.168.2.2,192.168.1.2,66,512,631296
11850,7.3467542,13.0467542,192.168.2.2,192.168.1.2,66,512,631296
11852,7.348109737,13.04810974,192.168.2.2,192.168.1.2,66,512,631296
11854,7.348452512,13.04845251,192.168.2.2,192.168.1.2,66,512,631296
11855,7.348697325,13.04869733,192.168.2.2,192.168.1.2,66,512,631296
11857,7.349949657,13.04994966,192.168.2.2,192.168.1.2,66,512,631296
11859,7.350902105,13.05090211,192.168.2.2,192.168.1.2,66,512,631296
11862,7.351864322,13.05186432,192.168.2.2,192.168.1.2,66,512,631296
11863,7.352954135,13.05295414,192.168.2.2,192.168.1.2,66,512,631296
11865,7.354173514,13.05417351,192.168.2.2,192.168.1.2,66,512,631296
11868,7.355564331,13.05556433,192.168.2.2,192.168.1.2,66,512,631296
11870,7.356859275,13.05685928,192.168.2.2,192.168.1.2,66,512,631296
11871,7.35708657,13.05708657,192.168.2.2,192.168.1.2,66,512,631296
11874,7.358424932,13.05842493,192.168.2.2,192.168.1.2,66,512,631296
11877,7.359737359,13.05973736,192.168.2.2,192.168.1.2,66,512,631296
11879,7.360829529,13.06082953,192.168.2.2,192.168.1.2,66,512,631296
11881,7.361918179,13.06191818,192.168.2.2,192.168.1.2,66,512,631296
11883,7.363007288,13.06300729,192.168.2.2,192.168.1.2,66,512,631296
11885,7.364099435,13.06409944,192.168.2.2,192.168.1.2,66,512,631296
11887,7.365078677,13.06507868,192.168.2.2,192.168.1.2,66,512,631296
11889,7.366163198,13.0661632,192.168.2.2,192.168.1.2,66,512,631296
11891,7.367506012,13.06750601,192.168.2.2,192.168.1.2,66,512,631296
11894,7.368221964,13.06822196,192.168.2.2,192.168.1.2,66,512,631296
11896,7.369316164,13.06931616,192.168.2.2,192.168.1.2,66,512,631296
11898,7.370522279,13.07052228,192.168.2.2,192.168.1.2,66,512,631296
11900,7.371614804,13.0716148,192.168.2.2,192.168.1.2,66,512,631296
11902,7.37270861,13.07270861,192.168.2.2,192.168.1.2,66,512,631296
11904,7.373801928,13.07380193,192.168.2.2,192.168.1.2,66,512,631296
11906,7.374894552,13.07489455,192.168.2.2,192.168.1.2,66,512,631296
11908,7.375990023,13.07599002,192.168.2.2,192.168.1.2,66,512,631296
11910,7.37682154,13.07682154,192.168.2.2,192.168.1.2,66,512,631296
11912,7.377915636,13.07791564,192.168.2.2,192.168.1.2,66,512,631296
11914,7.37900265,13.07900265,192.168.2.2,192.168.1.2,66,512,631296
11916,7.380153975,13.08015398,192.168.2.2,192.168.1.2,66,512,631296
11918,7.381196779,13.08119678,192.168.2.2,192.168.1.2,66,512,631296
11920,7.381501321,13.08150132,192.168.2.2,192.168.1.2,66,512,631296
11921,7.38252405,13.08252405,192.168.2.2,192.168.1.2,66,512,631296
11923,7.383853743,13.08385374,192.168.2.2,192.168.1.2,66,512,631296
11926,7.385178953,13.08517895,192.168.2.2,192.168.1.2,66,512,631296
11928,7.386501646,13.08650165,192.168.2.2,192.168.1.2,66,512,631296
11929,7.386864499,13.0868645,192.168.2.2,192.168.1.2,66,512,631296
11932,7.388195704,13.0881957,192.168.2.2,192.168.1.2,66,512,631296
11934,7.389285369,13.08928537,192.168.2.2,192.168.1.2,66,512,631296
11936,7.390375545,13.09037555,192.168.2.2,192.168.1.2,66,512,631296
11938,7.391471549,13.09147155,192.168.2.2,192.168.1.2,66,512,631296
11940,7.392313638,13.09231364,192.168.2.2,192.168.1.2,66,512,631296
11942,7.393407262,13.09340726,192.168.2.2,192.168.1.2,66,512,631296
11944,7.394499296,13.0944993,192.168.2.2,192.168.1.2,66,512,631296
11946,7.395584265,13.09558427,192.168.2.2,192.168.1.2,66,512,631296
11948,7.396917312,13.09691731,192.168.2.2,192.168.1.2,66,512,631296
11949,7.397796315,13.09779632,192.168.2.2,192.168.1.2,66,512,631296
11952,7.399100116,13.09910012,192.168.2.2,192.168.1.2,66,512,631296
11954,7.400428698,13.1004287,192.168.2.2,192.168.1.2,66,512,631296
11956,7.401034077,13.10103408,192.168.2.2,192.168.1.2,66,512,631296
11958,7.402123901,13.1021239,192.168.2.2,192.168.1.2,66,512,631296
11960,7.403221536,13.10322154,192.168.2.2,192.168.1.2,66,512,631296
11962,7.403838945,13.10383895,192.168.2.2,192.168.1.2,66,512,631296
11964,7.404950572,13.10495057,192.168.2.2,192.168.1.2,66,512,631296
11966,7.406039469,13.10603947,192.168.2.2,192.168.1.2,66,512,631296
11968,7.407202818,13.10720282,192.168.2.2,192.168.1.2,66,512,631296
11970,7.408429102,13.1084291,192.168.2.2,192.168.1.2,66,512,631296
11971,7.408665072,13.10866507,192.168.2.2,192.168.1.2,66,512,631296
11973,7.409997998,13.109998,192.168.2.2,192.168.1.2,66,512,631296
11976,7.411332264,13.11133226,192.168.2.2,192.168.1.2,66,512,631296
11978,7.412547383,13.11254738,192.168.2.2,192.168.1.2,66,512,631296
11981,7.413630843,13.11363084,192.168.2.2,192.168.1.2,66,512,631296
11982,7.414123664,13.11412366,192.168.2.2,192.168.1.2,66,512,631296
11984,7.415220386,13.11522039,192.168.2.2,192.168.1.2,66,512,631296
11986,7.415947634,13.11594763,192.168.2.2,192.168.1.2,66,512,631296
11988,7.417050251,13.11705025,192.168.2.2,192.168.1.2,66,512,631296
11990,7.418122534,13.11812253,192.168.2.2,192.168.1.2,66,512,631296
11992,7.419567564,13.11956756,192.168.2.2,192.168.1.2,66,512,631296
11994,7.420900978,13.12090098,192.168.2.2,192.168.1.2,66,512,631296
11997,7.422239874,13.12223987,192.168.2.2,192.168.1.2,66,512,631296
11999,7.423446119,13.12344612,192.168.2.2,192.168.1.2,66,512,631296
12001,7.424653979,13.12465398,192.168.2.2,192.168.1.2,66,512,631296
12003,7.425019173,13.12501917,192.168.2.2,192.168.1.2,66,512,631296
12005,7.426227791,13.12622779,192.168.2.2,192.168.1.2,66,512,631296
12007,7.427437046,13.12743705,192.168.2.2,192.168.1.2,66,512,631296
12009,7.428527708,13.12852771,192.168.2.2,192.168.1.2,66,512,631296
12011,7.429746888,13.12974689,192.168.2.2,192.168.1.2,66,512,631296
12012,7.430505415,13.13050542,192.168.2.2,192.168.1.2,66,512,631296
12014,7.43193205,13.13193205,192.168.2.2,192.168.1.2,66,512,631296
12016,7.433377651,13.13337765,192.168.2.2,192.168.1.2,66,512,631296
12018,7.434826508,13.13482651,192.168.2.2,192.168.1.2,66,512,631296
12021,7.435915788,13.13591579,192.168.2.2,192.168.1.2,66,512,631296
12023,7.437368165,13.13736817,192.168.2.2,192.168.1.2,66,512,631296
12024,7.437974162,13.13797416,192.168.2.2,192.168.1.2,66,512,631296
12028,7.439473304,13.1394733,192.168.2.2,192.168.1.2,66,512,631296
12030,7.440658739,13.14065874,192.168.2.2,192.168.1.2,66,512,631296
12032,7.44138535,13.14138535,192.168.2.2,192.168.1.2,66,512,631296
12034,7.442600865,13.14260087,192.168.2.2,192.168.1.2,66,512,631296
12036,7.443793745,13.14379375,192.168.2.2,192.168.1.2,66,512,631296
12038,7.444530697,13.1445307,192.168.2.2,192.168.1.2,66,512,631296
12039,7.445727512,13.14572751,192.168.2.2,192.168.1.2,66,512,631296
12042,7.446818183,13.14681818,192.168.2.2,192.168.1.2,66,512,631296
12044,7.448270854,13.14827085,192.168.2.2,192.168.1.2,66,512,631296
12046,7.449122195,13.1491222,192.168.2.2,192.168.1.2,66,512,631296
12048,7.450334066,13.15033407,192.168.2.2,192.168.1.2,66,512,631296
12050,7.45154092,13.15154092,192.168.2.2,192.168.1.2,66,512,631296
12052,7.45227912,13.15227912,192.168.2.2,192.168.1.2,66,512,631296
12054,7.453491221,13.15349122,192.168.2.2,192.168.1.2,66,512,631296
12055,7.454696901,13.1546969,192.168.2.2,192.168.1.2,66,512,631296
12058,7.455925526,13.15592553,192.168.2.2,192.168.1.2,66,512,631296
12060,7.457362686,13.15736269,192.168.2.2,192.168.1.2,66,512,631296
12061,7.457719667,13.15771967,192.168.2.2,192.168.1.2,66,512,631296
12063,7.459173546,13.15917355,192.168.2.2,192.168.1.2,66,512,631296
12065,7.460626225,13.16062623,192.168.2.2,192.168.1.2,66,512,631296
12068,7.461963295,13.1619633,192.168.2.2,192.168.1.2,66,512,631296
12070,7.46317574,13.16317574,192.168.2.2,192.168.1.2,66,512,631296
12072,7.464449575,13.16444958,192.168.2.2,192.168.1.2,66,512,631296
12074,7.465639124,13.16563912,192.168.2.2,192.168.1.2,66,512,631296
12077,7.466811137,13.16681114,192.168.2.2,192.168.1.2,66,512,631296
12079,7.468014739,13.16801474,192.168.2.2,192.168.1.2,66,512,631296
12080,7.468256625,13.16825663,192.168.2.2,192.168.1.2,66,512,631296
12081,7.468618894,13.16861889,192.168.2.2,192.168.1.2,66,512,631296
12083,7.470081621,13.17008162,192.168.2.2,192.168.1.2,66,512,631296
12086,7.471535879,13.17153588,192.168.2.2,192.168.1.2,66,512,631296
12089,7.472904318,13.17290432,192.168.2.2,192.168.1.2,66,512,631296
12091,7.474100751,13.17410075,192.168.2.2,192.168.1.2,66,512,631296
12093,7.475292552,13.17529255,192.168.2.2,192.168.1.2,66,512,631296
12095,7.47651003,13.17651003,192.168.2.2,192.168.1.2,66,512,631296
12097,7.477713516,13.17771352,192.168.2.2,192.168.1.2,66,512,631296
12099,7.478919406,13.17891941,192.168.2.2,192.168.1.2,66,512,631296
12100,7.479524982,13.17952498,192.168.2.2,192.168.1.2,66,512,631296
12102,7.481119844,13.18111984,192.168.2.2,192.168.1.2,66,512,631296
12105,7.482678679,13.18267868,192.168.2.2,192.168.1.2,66,512,631296
12107,7.484253509,13.18425351,192.168.2.2,192.168.1.2,66,512,631296
12108,7.484986459,13.18498646,192.168.2.2,192.168.1.2,66,512,631296
12110,7.486547031,13.18654703,192.168.2.2,192.168.1.2,66,512,631296
12113,7.488119704,13.1881197,192.168.2.2,192.168.1.2,66,512,631296
12115,7.489703374,13.18970337,192.168.2.2,192.168.1.2,66,512,631296
12116,7.49042599,13.19042599,192.168.2.2,192.168.1.2,66,512,631296
12118,7.492014342,13.19201434,192.168.2.2,192.168.1.2,66,512,631296
12121,7.49357044,13.19357044,192.168.2.2,192.168.1.2,66,512,631296
12123,7.495153329,13.19515333,192.168.2.2,192.168.1.2,66,512,631296
12124,7.495875638,13.19587564,192.168.2.2,192.168.1.2,66,512,631296
12126,7.497448106,13.19744811,192.168.2.2,192.168.1.2,66,512,631296
12129,7.499021576,13.19902158,192.168.2.2,192.168.1.2,66,512,631296
12131,7.500597053,13.20059705,192.168.2.2,192.168.1.2,66,512,631296
12132,7.501327746,13.20132775,192.168.2.2,192.168.1.2,66,512,631296
12134,7.502929185,13.20292919,192.168.2.2,192.168.1.2,66,512,631296
12137,7.504506258,13.20450626,192.168.2.2,192.168.1.2,66,512,631296
12139,7.506071891,13.20607189,192.168.2.2,192.168.1.2,66,512,631296
12140,7.506796347,13.20679635,192.168.2.2,192.168.1.2,66,512,631296
12142,7.508363114,13.20836311,192.168.2.2,192.168.1.2,66,512,631296
12145,7.509930215,13.20993022,192.168.2.2,192.168.1.2,66,512,631296
12147,7.511504036,13.21150404,192.168.2.2,192.168.1.2,66,512,631296
12148,7.512232049,13.21223205,192.168.2.2,192.168.1.2,66,512,631296
12150,7.513807555,13.21380756,192.168.2.2,192.168.1.2,66,512,631296
12153,7.515393373,13.21539337,192.168.2.2,192.168.1.2,66,512,631296
12155,7.516966559,13.21696656,192.168.2.2,192.168.1.2,66,512,631296
12156,7.517705881,13.21770588,192.168.2.2,192.168.1.2,66,512,631296
12158,7.519269707,13.21926971,192.168.2.2,192.168.1.2,66,512,631296
12162,7.5208422,13.2208422,192.168.2.2,192.168.1.2,66,512,631296
12163,7.521816549,13.22181655,192.168.2.2,192.168.1.2,66,512,631296
12166,7.52315869,13.22315869,192.168.2.2,192.168.1.2,66,512,631296
12168,7.524338616,13.22433862,192.168.2.2,192.168.1.2,66,512,631296
12170,7.524703121,13.22470312,192.168.2.2,192.168.1.2,66,512,631296
12172,7.525907807,13.22590781,192.168.2.2,192.168.1.2,66,512,631296
12174,7.527118882,13.22711888,192.168.2.2,192.168.1.2,66,512,631296
12176,7.528210065,13.22821007,192.168.2.2,192.168.1.2,66,512,631296
12177,7.528574112,13.22857411,192.168.2.2,192.168.1.2,66,512,631296
12179,7.530087793,13.23008779,192.168.2.2,192.168.1.2,66,512,631296
12181,7.53150373,13.23150373,192.168.2.2,192.168.1.2,66,512,631296
12183,7.532942025,13.23294203,192.168.2.2,192.168.1.2,66,512,631296
12185,7.534028369,13.23402837,192.168.2.2,192.168.1.2,66,512,631296
12188,7.535484517,13.23548452,192.168.2.2,192.168.1.2,66,512,631296
12191,7.537056756,13.23705676,192.168.2.2,192.168.1.2,66,512,631296
12192,7.537777808,13.23777781,192.168.2.2,192.168.1.2,66,512,631296
12195,7.539503364,13.23950336,192.168.2.2,192.168.1.2,66,512,631296
12197,7.541065864,13.24106586,192.168.2.2,192.168.1.2,66,512,631296
12198,7.541929707,13.24192971,192.168.2.2,192.168.1.2,66,512,631296
12201,7.5432617,13.2432617,192.168.2.2,192.168.1.2,66,512,631296
12203,7.544573146,13.24457315,192.168.2.2,192.168.1.2,66,512,631296
12204,7.544925974,13.24492597,192.168.2.2,192.168.1.2,66,512,631296
12207,7.546265272,13.24626527,192.168.2.2,192.168.1.2,66,512,631296
12208,7.547612956,13.24761296,192.168.2.2,192.168.1.2,66,512,631296
12211,7.548697765,13.24869777,192.168.2.2,192.168.1.2,66,512,631296
12213,7.550391998,13.250392,192.168.2.2,192.168.1.2,66,512,631296
12215,7.551953995,13.251954,192.168.2.2,192.168.1.2,66,512,631296
12218,7.553525508,13.25352551,192.168.2.2,192.168.1.2,66,512,631296
12220,7.554896947,13.25489695,192.168.2.2,192.168.1.2,66,512,631296
12221,7.55586179,13.25586179,192.168.2.2,192.168.1.2,66,512,631296
12223,7.557175761,13.25717576,192.168.2.2,192.168.1.2,66,512,631296
12225,7.558498819,13.25849882,192.168.2.2,192.168.1.2,66,512,631296
12228,7.55982429,13.25982429,192.168.2.2,192.168.1.2,66,512,631296
12230,7.561275876,13.26127588,192.168.2.2,192.168.1.2,66,512,631296
12232,7.562609234,13.26260923,192.168.2.2,192.168.1.2,66,512,631296
12235,7.564207438,13.26420744,192.168.2.2,192.168.1.2,66,512,631296
12237,7.565789367,13.26578937,192.168.2.2,192.168.1.2,66,512,631296
12239,7.566007146,13.26600715,192.168.2.2,192.168.1.2,66,512,631296
12240,7.566748771,13.26674877,192.168.2.2,192.168.1.2,66,512,631296
12242,7.568307168,13.26830717,192.168.2.2,192.168.1.2,66,512,631296
12245,7.569877943,13.26987794,192.168.2.2,192.168.1.2,66,512,631296
12247,7.571449586,13.27144959,192.168.2.2,192.168.1.2,66,512,631296
12248,7.572196652,13.27219665,192.168.2.2,192.168.1.2,66,512,631296
12250,7.573758469,13.27375847,192.168.2.2,192.168.1.2,66,512,631296
12253,7.575327043,13.27532704,192.168.2.2,192.168.1.2,66,512,631296
12255,7.576907969,13.27690797,192.168.2.2,192.168.1.2,66,512,631296
12256,7.577631379,13.27763138,192.168.2.2,192.168.1.2,66,512,631296
12258,7.579087342,13.27908734,192.168.2.2,192.168.1.2,66,512,631296
12261,7.580570958,13.28057096,192.168.2.2,192.168.1.2,66,512,631296
12263,7.58151633,13.28151633,192.168.2.2,192.168.1.2,66,512,631296
12265,7.582597811,13.28259781,192.168.2.2,192.168.1.2,66,512,631296
12267,7.583077385,13.28307739,192.168.2.2,192.168.1.2,66,512,631296
12269,7.584167525,13.28416753,192.168.2.2,192.168.1.2,66,512,631296
12271,7.585257581,13.28525758,192.168.2.2,192.168.1.2,66,512,631296
12273,7.586348519,13.28634852,192.168.2.2,192.168.1.2,66,512,631296
12274,7.587444362,13.28744436,192.168.2.2,192.168.1.2,66,512,631296
12276,7.588527794,13.28852779,192.168.2.2,192.168.1.2,66,512,631296
12278,7.590000203,13.2900002,192.168.2.2,192.168.1.2,66,512,631296
12281,7.591435404,13.2914354,192.168.2.2,192.168.1.2,66,512,631296
12283,7.592888231,13.29288823,192.168.2.2,192.168.1.2,66,512,631296
12285,7.593128268,13.29312827,192.168.2.2,192.168.1.2,66,512,631296
12286,7.593978281,13.29397828,192.168.2.2,192.168.1.2,66,512,631296
12289,7.595431555,13.29543156,192.168.2.2,192.168.1.2,66,512,631296
12291,7.596884931,13.29688493,192.168.2.2,192.168.1.2,66,512,631296
12293,7.597493595,13.2974936,192.168.2.2,192.168.1.2,66,512,631296
12295,7.598947985,13.29894799,192.168.2.2,192.168.1.2,66,512,631296
12297,7.599428292,13.29942829,192.168.2.2,192.168.1.2,66,512,631296
12299,7.600880807,13.30088081,192.168.2.2,192.168.1.2,66,512,631296
12300,7.601486871,13.30148687,192.168.2.2,192.168.1.2,66,512,631296
12303,7.60294078,13.30294078,192.168.2.2,192.168.1.2,66,512,631296
12305,7.604396589,13.30439659,192.168.2.2,192.168.1.2,66,512,631296
12306,7.604922979,13.30492298,192.168.2.2,192.168.1.2,66,512,631296
12308,7.606349771,13.30634977,192.168.2.2,192.168.1.2,66,512,631296
12310,7.607790556,13.30779056,192.168.2.2,192.168.1.2,66,512,631296
12312,7.609240438,13.30924044,192.168.2.2,192.168.1.2,66,512,631296
12314,7.610332464,13.31033246,192.168.2.2,192.168.1.2,66,512,631296
12317,7.611783815,13.31178382,192.168.2.2,192.168.1.2,66,512,631296
12319,7.613238969,13.31323897,192.168.2.2,192.168.1.2,66,512,631296
12321,7.613848531,13.31384853,192.168.2.2,192.168.1.2,66,512,631296
12323,7.615319688,13.31531969,192.168.2.2,192.168.1.2,66,512,631296
12325,7.615801246,13.31580125,192.168.2.2,192.168.1.2,66,512,631296
12327,7.617238653,13.31723865,192.168.2.2,192.168.1.2,66,512,631296
12328,7.617839917,13.31783992,192.168.2.2,192.168.1.2,66,512,631296
12331,7.619294626,13.31929463,192.168.2.2,192.168.1.2,66,512,631296
12333,7.620748653,13.32074865,192.168.2.2,192.168.1.2,66,512,631296
12334,7.621230581,13.32123058,192.168.2.2,192.168.1.2,66,512,631296
12336,7.622685945,13.32268595,192.168.2.2,192.168.1.2,66,512,631296
12339,7.624145342,13.32414534,192.168.2.2,192.168.1.2,66,512,631296
12341,7.625348554,13.32534855,192.168.2.2,192.168.1.2,66,512,631296
12344,7.62668194,13.32668194,192.168.2.2,192.168.1.2,66,512,631296
12346,7.628012752,13.32801275,192.168.2.2,192.168.1.2,66,512,631296
12349,7.629224193,13.32922419,192.168.2.2,192.168.1.2,66,512,631296
12351,7.630354045,13.33035405,192.168.2.2,192.168.1.2,66,512,631296
12353,7.631407315,13.33140732,192.168.2.2,192.168.1.2,66,512,631296
12354,7.632131797,13.3321318,192.168.2.2,192.168.1.2,66,512,631296
12356,7.633462653,13.33346265,192.168.2.2,192.168.1.2,66,512,631296
12358,7.634794477,13.33479448,192.168.2.2,192.168.1.2,66,512,631296
12361,7.636133884,13.33613388,192.168.2.2,192.168.1.2,66,512,631296
12363,7.637582234,13.33758223,192.168.2.2,192.168.1.2,66,512,631296
12366,7.638925556,13.33892556,192.168.2.2,192.168.1.2,66,512,631296
12368,7.640024237,13.34002424,192.168.2.2,192.168.1.2,66,512,631296
12370,7.641118748,13.34111875,192.168.2.2,192.168.1.2,66,512,631296
12372,7.642238832,13.34223883,192.168.2.2,192.168.1.2,66,512,631296
12374,7.643055176,13.34305518,192.168.2.2,192.168.1.2,66,512,631296
12376,7.644124078,13.34412408,192.168.2.2,192.168.1.2,66,512,631296
12377,7.645215464,13.34521546,192.168.2.2,192.168.1.2,66,512,631296
12380,7.646303633,13.34630363,192.168.2.2,192.168.1.2,66,512,631296
12382,7.647760916,13.34776092,192.168.2.2,192.168.1.2,66,512,631296
12383,7.64848629,13.34848629,192.168.2.2,192.168.1.2,66,512,631296
12385,7.649953734,13.34995373,192.168.2.2,192.168.1.2,66,512,631296
12387,7.651390959,13.35139096,192.168.2.2,192.168.1.2,66,512,631296
