PING 192.168.50.2 (192.168.50.2) 56(84) bytes of data.
64 bytes from 192.168.50.2: icmp_seq=1 ttl=63 time=0.037 ms
64 bytes from 192.168.50.2: icmp_seq=2 ttl=63 time=855 ms
64 bytes from 192.168.50.2: icmp_seq=3 ttl=63 time=1672 ms
64 bytes from 192.168.50.2: icmp_seq=4 ttl=63 time=1808 ms
64 bytes from 192.168.50.2: icmp_seq=5 ttl=63 time=1814 ms
64 bytes from 192.168.50.2: icmp_seq=6 ttl=63 time=1820 ms
64 bytes from 192.168.50.2: icmp_seq=7 ttl=63 time=1825 ms
64 bytes from 192.168.50.2: icmp_seq=8 ttl=63 time=1859 ms
64 bytes from 192.168.50.2: icmp_seq=9 ttl=63 time=1816 ms
64 bytes from 192.168.50.2: icmp_seq=10 ttl=63 time=1811 ms
64 bytes from 192.168.50.2: icmp_seq=11 ttl=63 time=1816 ms
64 bytes from 192.168.50.2: icmp_seq=12 ttl=63 time=815 ms
64 bytes from 192.168.50.2: icmp_seq=13 ttl=63 time=2095 ms
64 bytes from 192.168.50.2: icmp_seq=14 ttl=63 time=2868 ms
64 bytes from 192.168.50.2: icmp_seq=15 ttl=63 time=3359 ms
64 bytes from 192.168.50.2: icmp_seq=16 ttl=63 time=2356 ms
64 bytes from 192.168.50.2: icmp_seq=17 ttl=63 time=1359 ms
64 bytes from 192.168.50.2: icmp_seq=18 ttl=63 time=481 ms
64 bytes from 192.168.50.2: icmp_seq=19 ttl=63 time=172 ms
64 bytes from 192.168.50.2: icmp_seq=20 ttl=63 time=164 ms
64 bytes from 192.168.50.2: icmp_seq=21 ttl=63 time=101 ms
