PING 192.168.70.2 (192.168.70.2) 56(84) bytes of data.
64 bytes from 192.168.70.2: icmp_seq=1 ttl=63 time=0.098 ms
64 bytes from 192.168.70.2: icmp_seq=2 ttl=63 time=1556 ms
64 bytes from 192.168.70.2: icmp_seq=3 ttl=63 time=1909 ms
64 bytes from 192.168.70.2: icmp_seq=4 ttl=63 time=3330 ms
64 bytes from 192.168.70.2: icmp_seq=5 ttl=63 time=4663 ms
64 bytes from 192.168.70.2: icmp_seq=6 ttl=63 time=5839 ms
64 bytes from 192.168.70.2: icmp_seq=7 ttl=63 time=7041 ms
64 bytes from 192.168.70.2: icmp_seq=8 ttl=63 time=6281 ms
64 bytes from 192.168.70.2: icmp_seq=9 ttl=63 time=6647 ms
64 bytes from 192.168.70.2: icmp_seq=10 ttl=63 time=6496 ms
64 bytes from 192.168.70.2: icmp_seq=11 ttl=63 time=6202 ms
64 bytes from 192.168.70.2: icmp_seq=12 ttl=63 time=5205 ms
64 bytes from 192.168.70.2: icmp_seq=13 ttl=63 time=4192 ms
64 bytes from 192.168.70.2: icmp_seq=14 ttl=63 time=3198 ms
64 bytes from 192.168.70.2: icmp_seq=15 ttl=63 time=2195 ms
64 bytes from 192.168.70.2: icmp_seq=16 ttl=63 time=1200 ms
64 bytes from 192.168.70.2: icmp_seq=17 ttl=63 time=391 ms
64 bytes from 192.168.70.2: icmp_seq=18 ttl=63 time=7062 ms
64 bytes from 192.168.70.2: icmp_seq=19 ttl=63 time=7762 ms
64 bytes from 192.168.70.2: icmp_seq=20 ttl=63 time=9823 ms
64 bytes from 192.168.70.2: icmp_seq=21 ttl=63 time=10835 ms
64 bytes from 192.168.70.2: icmp_seq=22 ttl=63 time=11516 ms
64 bytes from 192.168.70.2: icmp_seq=23 ttl=63 time=12101 ms
64 bytes from 192.168.70.2: icmp_seq=24 ttl=63 time=12881 ms
64 bytes from 192.168.70.2: icmp_seq=25 ttl=63 time=14157 ms
64 bytes from 192.168.70.2: icmp_seq=26 ttl=63 time=15419 ms
