"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"199","357.922945299","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"201","357.935873696","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"203","357.947464108","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"205","357.959215594","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"207","357.971913578","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"209","357.983697663","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"211","357.995580203","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"213","358.008164014","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"216","358.025823637","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"218","358.038080517","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"220","358.050832553","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"222","358.062545886","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"224","358.074352715","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"226","358.087048875","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"228","358.098828817","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"230","358.110614263","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"232","358.123385964","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"234","358.135052522","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"236","358.146980906","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"238","358.159614101","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"240","358.171373189","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"242","358.184028305","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"244","358.195787814","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"246","358.207548607","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"248","358.220254526","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"250","358.232019927","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"252","358.243871278","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"254","358.256516885","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"256","358.268252530","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"258","358.280179242","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"261","358.298670279","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"263","358.310486185","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"265","358.323157830","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"267","358.334863270","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"269","358.346833906","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"271","358.359377511","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"273","358.371127633","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"275","358.383170753","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"277","358.395656010","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"279","358.408416892","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"281","358.420451629","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"283","358.431982561","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"285","358.443709087","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"287","358.456337934","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"289","358.469184225","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"291","358.480698748","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"293","358.492571469","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"295","358.504329867","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"297","358.516384107","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"299","358.528842243","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"301","358.540606893","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"303","358.553306120","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"306","358.570927882","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"308","358.583646776","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"310","358.595441031","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"312","358.607233492","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"314","358.619906661","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"316","358.631670948","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"318","358.643963806","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"320","358.655691667","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"322","358.668431510","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"324","358.680157097","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"326","358.692011434","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"328","358.704706564","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"330","358.716454150","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"332","358.728347481","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"334","358.740933707","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"336","358.752666897","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"338","358.764723080","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"340","358.777230540","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"342","358.788951999","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"344","358.801668097","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"346","358.813405055","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"348","358.825224677","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"351","358.843780566","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"353","358.855494481","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"355","358.868238281","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"357","358.880015784","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"359","358.891844644","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"361","358.904526418","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"363","358.916293533","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"365","358.929036742","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"367","358.940808435","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"369","358.952471465","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"371","358.965165441","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"373","358.977032094","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"375","358.988777555","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"377","359.001452790","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"379","359.013187341","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"381","359.025070543","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"383","359.037713705","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"385","359.049494535","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"387","359.062273720","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"389","359.073936200","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"391","359.085701390","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"393","359.098524529","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"396","359.116099321","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"398","359.128067403","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"400","359.140700688","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"402","359.152312149","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"404","359.165071889","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"406","359.176834014","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"408","359.188592192","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"410","359.201309373","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"412","359.213056390","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"414","359.224931335","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"416","359.237097876","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"418","359.249806080","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"420","359.261588384","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"422","359.273371236","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"424","359.285819294","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"426","359.297826547","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"428","359.309698888","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"430","359.322315119","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"432","359.334062116","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"434","359.346051687","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"436","359.358575405","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"438","359.370279452","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"441","359.388915470","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"443","359.400643771","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"445","359.413452966","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"447","359.425410834","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"449","359.436942850","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"451","359.449001348","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"453","359.461461869","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"455","359.473217631","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
