"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"173","5.855890657","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"175","5.867538704","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"177","5.879444511","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"179","5.892041935","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"181","5.904825799","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"183","5.916529818","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"185","5.928275476","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"188","5.946011022","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"190","5.958645646","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"192","5.970383118","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"194","5.982368946","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"196","5.994878395","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"198","6.006658647","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"200","6.019818185","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"202","6.030834135","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"204","6.042967018","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"206","6.055610609","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"208","6.067365954","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"210","6.080098351","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"212","6.091844900","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"214","6.103584808","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"216","6.116631965","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"218","6.129728284","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"221","6.146310961","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"223","6.157957320","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"225","6.170193066","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"227","6.182216735","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"229","6.194732326","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
