"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"182","1.160990864","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"184","1.173644411","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"186","1.185287007","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"188","1.197115991","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"191","1.215294537","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"193","1.227521085","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"195","1.240229218","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"197","1.251968994","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"199","1.263745680","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"201","1.275839510","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"203","1.288219192","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"206","1.306420212","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"208","1.318570147","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"210","1.330346798","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"212","1.342458489","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"214","1.354820201","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"216","1.367503426","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"218","1.379272487","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"221","1.396941258","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"223","1.409140746","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"225","1.421887059","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"227","1.433285827","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"229","1.445485235","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"231","1.457509264","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"233","1.470016809","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"236","1.488560924","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"238","1.500098005","192.168.2.2","192.168.1.2","TCP","66","107","54784"
