No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
109,0.940058,192.168.2.2,192.168.1.2,TCP,66,115712,5001  >  53342 [ACK] Seq=1 Ack=114897 Win=115712 Len=0 TSval=2326340339 TSecr=1377379918
111,0.964016,192.168.2.2,192.168.1.2,TCP,66,118784,5001  >  53342 [ACK] Seq=1 Ack=115841 Win=118784 Len=0 TSval=2326340363 TSecr=1377379930
113,0.972457,192.168.2.2,192.168.1.2,TCP,66,124416,5001  >  53342 [ACK] Seq=1 Ack=118737 Win=124416 Len=0 TSval=2326340372 TSecr=1377379954
115,0.996401,192.168.2.2,192.168.1.2,TCP,66,130560,5001  >  53342 [ACK] Seq=1 Ack=121633 Win=130560 Len=0 TSval=2326340395 TSecr=1377379979
117,1.020535,192.168.2.2,192.168.1.2,TCP,66,136192,5001  >  53342 [ACK] Seq=1 Ack=124529 Win=136192 Len=0 TSval=2326340420 TSecr=1377379979
120,1.044899,192.168.2.2,192.168.1.2,TCP,66,141824,5001  >  53342 [ACK] Seq=1 Ack=127425 Win=141824 Len=0 TSval=2326340444 TSecr=1377379979
123,1.068984,192.168.2.2,192.168.1.2,TCP,66,147968,5001  >  53342 [ACK] Seq=1 Ack=130321 Win=147968 Len=0 TSval=2326340468 TSecr=1377380003
125,1.093206,192.168.2.2,192.168.1.2,TCP,66,153600,5001  >  53342 [ACK] Seq=1 Ack=133217 Win=153600 Len=0 TSval=2326340492 TSecr=1377380003
127,1.117478,192.168.2.2,192.168.1.2,TCP,66,159232,5001  >  53342 [ACK] Seq=1 Ack=136113 Win=159232 Len=0 TSval=2326340517 TSecr=1377380003
129,1.141667,192.168.2.2,192.168.1.2,TCP,66,162304,5001  >  53342 [ACK] Seq=1 Ack=137561 Win=162304 Len=0 TSval=2326340541 TSecr=1377380003
131,1.153824,192.168.2.2,192.168.1.2,TCP,66,167936,5001  >  53342 [ACK] Seq=1 Ack=140457 Win=167936 Len=0 TSval=2326340553 TSecr=1377380027
133,1.178205,192.168.2.2,192.168.1.2,TCP,66,173568,5001  >  53342 [ACK] Seq=1 Ack=143353 Win=173568 Len=0 TSval=2326340577 TSecr=1377380027
135,1.202729,192.168.2.2,192.168.1.2,TCP,66,179712,5001  >  53342 [ACK] Seq=1 Ack=146249 Win=179712 Len=0 TSval=2326340602 TSecr=1377380027
137,1.227215,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  53342 [ACK] Seq=1 Ack=149145 Win=185344 Len=0 TSval=2326340626 TSecr=1377380051
139,1.250817,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=152041 Win=187904 Len=0 TSval=2326340650 TSecr=1377380051
141,1.274996,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=154937 Win=187904 Len=0 TSval=2326340674 TSecr=1377380051
143,1.299136,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=157833 Win=187904 Len=0 TSval=2326340698 TSecr=1377380075
145,1.323764,192.168.2.2,192.168.1.2,TCP,66,188928,5001  >  53342 [ACK] Seq=1 Ack=159281 Win=188928 Len=0 TSval=2326340723 TSecr=1377380075
147,1.335645,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=162177 Win=187904 Len=0 TSval=2326340735 TSecr=1377380075
149,1.360093,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=165073 Win=187904 Len=0 TSval=2326340759 TSecr=1377380099
151,1.383916,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=167969 Win=187904 Len=0 TSval=2326340783 TSecr=1377380099
