"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"81","0.717394","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=89777 Win=185344 Len=0 TSval=552314295 TSecr=457535950"
"83","0.741283","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=92673 Win=185344 Len=0 TSval=552314319 TSecr=457535950"
"85","0.766418","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=95569 Win=185344 Len=0 TSval=552314344 TSecr=457535974"
"87","0.789960","192.168.2.2","192.168.1.2","TCP","66","185856","5001  >  48034 [ACK] Seq=1 Ack=97017 Win=185856 Len=0 TSval=552314368 TSecr=457535999"
"89","0.801848","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=99913 Win=185344 Len=0 TSval=552314380 TSecr=457536010"
"91","0.826225","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=102809 Win=185344 Len=0 TSval=552314404 TSecr=457536034"
"93","0.850722","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=105705 Win=185344 Len=0 TSval=552314428 TSecr=457536059"
"95","0.886634","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=110049 Win=185344 Len=0 TSval=552314464 TSecr=457536083"
"97","0.910937","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=112945 Win=185344 Len=0 TSval=552314489 TSecr=457536119"
"99","0.935944","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=115841 Win=185344 Len=0 TSval=552314514 TSecr=457536144"
"102","0.959492","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=118737 Win=185344 Len=0 TSval=552314537 TSecr=457536180"
"104","0.983969","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=121633 Win=185344 Len=0 TSval=552314562 TSecr=457536204"
"106","1.008456","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=124529 Win=185344 Len=0 TSval=552314586 TSecr=457536229"
"109","1.031956","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=127425 Win=185344 Len=0 TSval=552314610 TSecr=457536229"
"111","1.056548","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=130321 Win=185344 Len=0 TSval=552314634 TSecr=457536252"
"113","1.084044","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=133217 Win=185344 Len=0 TSval=552314662 TSecr=457536277"
"115","1.105591","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=136113 Win=185344 Len=0 TSval=552314683 TSecr=457536301"
