No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
105,2.481986,192.168.2.2,192.168.1.2,TCP,66,348160,5001  >  53148 [ACK] Seq=1 Ack=311321 Win=348160 Len=0 TSval=2325381979 TSecr=1376420750
107,2.603088,192.168.2.2,192.168.1.2,TCP,66,391680,5001  >  53148 [ACK] Seq=1 Ack=333041 Win=391680 Len=0 TSval=2325382100 TSecr=1376420750
109,2.784768,192.168.2.2,192.168.1.2,TCP,66,435200,5001  >  53148 [ACK] Seq=1 Ack=354761 Win=435200 Len=0 TSval=2325382281 TSecr=1376420876
112,2.966415,192.168.2.2,192.168.1.2,TCP,66,454144,5001  >  53148 [ACK] Seq=1 Ack=364297 Win=454144 Len=0 TSval=2325382463 TSecr=1376420924
115,3.046579,192.168.2.2,192.168.1.2,TCP,66,477184,5001  >  53148 [ACK] Seq=1 Ack=375881 Win=477184 Len=0 TSval=2325382543 TSecr=1376420932
117,3.143564,192.168.2.2,192.168.1.2,TCP,66,480256,5001  >  53148 [ACK] Seq=1 Ack=376481 Win=480256 Len=0 TSval=2325382640 TSecr=1376420932
119,3.149518,192.168.2.2,192.168.1.2,TCP,66,481280,5001  >  53148 [ACK] Seq=1 Ack=398201 Win=481280 Len=0 TSval=2325382646 TSecr=1376420993
121,3.33079,192.168.2.2,192.168.1.2,TCP,66,483840,5001  >  53148 [ACK] Seq=1 Ack=415577 Win=483840 Len=0 TSval=2325382827 TSecr=1376421102
123,3.475812,192.168.2.2,192.168.1.2,TCP,66,489984,5001  >  53148 [ACK] Seq=1 Ack=419921 Win=489984 Len=0 TSval=2325382972 TSecr=1376421115
125,3.513263,192.168.2.2,192.168.1.2,TCP,66,483840,5001  >  53148 [ACK] Seq=1 Ack=437297 Win=483840 Len=0 TSval=2325383009 TSecr=1376421232
127,3.659081,192.168.2.2,192.168.1.2,TCP,66,489984,5001  >  53148 [ACK] Seq=1 Ack=441641 Win=489984 Len=0 TSval=2325383155 TSecr=1376421296
130,3.695715,192.168.2.2,192.168.1.2,TCP,66,492032,5001  >  53148 [ACK] Seq=1 Ack=463361 Win=492032 Len=0 TSval=2325383192 TSecr=1376421478
132,3.877672,192.168.2.2,192.168.1.2,TCP,66,492032,5001  >  53148 [ACK] Seq=1 Ack=485081 Win=492032 Len=0 TSval=2325383374 TSecr=1376421660
135,4.059212,192.168.2.2,192.168.1.2,TCP,66,494080,5001  >  53148 [ACK] Seq=1 Ack=502457 Win=494080 Len=0 TSval=2325383555 TSecr=1376421743
137,4.204936,192.168.2.2,192.168.1.2,TCP,66,499712,5001  >  53148 [ACK] Seq=1 Ack=505353 Win=499712 Len=0 TSval=2325383701 TSecr=1376421842
139,4.228651,192.168.2.2,192.168.1.2,TCP,66,501760,5001  >  53148 [ACK] Seq=1 Ack=506801 Win=501760 Len=0 TSval=2325383724 TSecr=1376421865
141,4.241268,192.168.2.2,192.168.1.2,TCP,66,494080,5001  >  53148 [ACK] Seq=1 Ack=524177 Win=494080 Len=0 TSval=2325383737 TSecr=1376421902
144,4.386809,192.168.2.2,192.168.1.2,TCP,66,500736,5001  >  53148 [ACK] Seq=1 Ack=528521 Win=500736 Len=0 TSval=2325383882 TSecr=1376422023
146,4.423551,192.168.2.2,192.168.1.2,TCP,66,492032,5001  >  53148 [ACK] Seq=1 Ack=550241 Win=492032 Len=0 TSval=2325383919 TSecr=1376422204
148,4.604847,192.168.2.2,192.168.1.2,TCP,66,494080,5001  >  53148 [ACK] Seq=1 Ack=567617 Win=494080 Len=0 TSval=2325384100 TSecr=1376422255
150,4.750326,192.168.2.2,192.168.1.2,TCP,66,497664,5001  >  53148 [ACK] Seq=1 Ack=577753 Win=497664 Len=0 TSval=2325384246 TSecr=1376422386
153,4.835767,192.168.2.2,192.168.1.2,TCP,66,501760,5001  >  53148 [ACK] Seq=1 Ack=589337 Win=501760 Len=0 TSval=2325384331 TSecr=1376422466
155,4.944832,192.168.2.2,192.168.1.2,TCP,66,501760,5001  >  53148 [ACK] Seq=1 Ack=595129 Win=501760 Len=0 TSval=2325384440 TSecr=1376422563
157,4.981252,192.168.2.2,192.168.1.2,TCP,66,501760,5001  >  53148 [ACK] Seq=1 Ack=629881 Win=501760 Len=0 TSval=2325384477 TSecr=1376422750
162,5.275229,192.168.2.2,192.168.1.2,TCP,66,500736,5001  >  53148 [ACK] Seq=1 Ack=634225 Win=500736 Len=0 TSval=2325384770 TSecr=1376422895
164,5.308112,192.168.2.2,192.168.1.2,TCP,66,499712,5001  >  53148 [ACK] Seq=1 Ack=640017 Win=499712 Len=0 TSval=2325384803 TSecr=1376422932
167,5.357032,192.168.2.2,192.168.1.2,TCP,66,494592,5001  >  53148 [ACK] Seq=1 Ack=655945 Win=494592 Len=0 TSval=2325384852 TSecr=1376423078
170,5.490408,192.168.2.2,192.168.1.2,TCP,66,492032,5001  >  53148 [ACK] Seq=1 Ack=677665 Win=492032 Len=0 TSval=2325384985 TSecr=1376423115
172,5.671659,192.168.2.2,192.168.1.2,TCP,66,516608,5001  >  53148 [ACK] Seq=1 Ack=684905 Win=516608 Len=0 TSval=2325385167 TSecr=1376423297
175,5.732833,192.168.2.2,192.168.1.2,TCP,66,580096,5001  >  53148 [ACK] Seq=1 Ack=716761 Win=580096 Len=0 TSval=2325385228 TSecr=1376423478
179,5.999523,192.168.2.2,192.168.1.2,TCP,66,585728,5001  >  53148 [ACK] Seq=1 Ack=719657 Win=585728 Len=0 TSval=2325385494 TSecr=1376423624
181,6.024036,192.168.2.2,192.168.1.2,TCP,66,588800,5001  >  53148 [ACK] Seq=1 Ack=721105 Win=588800 Len=0 TSval=2325385519 TSecr=1376423647
184,6.035721,192.168.2.2,192.168.1.2,TCP,66,606208,5001  >  53148 [ACK] Seq=1 Ack=729793 Win=606208 Len=0 TSval=2325385531 TSecr=1376423660
186,6.108414,192.168.2.2,192.168.1.2,TCP,66,623616,5001  >  53148 [ACK] Seq=1 Ack=738481 Win=623616 Len=0 TSval=2325385603 TSecr=1376423790
188,6.181767,192.168.2.2,192.168.1.2,TCP,66,632320,5001  >  53148 [ACK] Seq=1 Ack=742825 Win=632320 Len=0 TSval=2325385676 TSecr=1376423805
190,6.218073,192.168.2.2,192.168.1.2,TCP,66,675840,5001  >  53148 [ACK] Seq=1 Ack=764545 Win=675840 Len=0 TSval=2325385713 TSecr=1376423842
192,6.399419,192.168.2.2,192.168.1.2,TCP,66,695808,5001  >  53148 [ACK] Seq=1 Ack=774681 Win=695808 Len=0 TSval=2325385894 TSecr=1376424023
194,6.483917,192.168.2.2,192.168.1.2,TCP,66,730624,5001  >  53148 [ACK] Seq=1 Ack=792057 Win=730624 Len=0 TSval=2325385978 TSecr=1376424169
196,6.629266,192.168.2.2,192.168.1.2,TCP,66,753664,5001  >  53148 [ACK] Seq=1 Ack=803641 Win=753664 Len=0 TSval=2325386124 TSecr=1376424254
198,6.726215,192.168.2.2,192.168.1.2,TCP,66,765440,5001  >  53148 [ACK] Seq=1 Ack=809433 Win=765440 Len=0 TSval=2325386221 TSecr=1376424363
200,6.774479,192.168.2.2,192.168.1.2,TCP,66,785920,5001  >  53148 [ACK] Seq=1 Ack=819569 Win=785920 Len=0 TSval=2325386269 TSecr=1376424400
203,6.860369,192.168.2.2,192.168.1.2,TCP,66,843776,5001  >  53148 [ACK] Seq=1 Ack=848529 Win=843776 Len=0 TSval=2325386355 TSecr=1376424693
207,7.103039,192.168.2.2,192.168.1.2,TCP,66,855040,5001  >  53148 [ACK] Seq=1 Ack=854321 Win=855040 Len=0 TSval=2325386597 TSecr=1376424726
209,7.151055,192.168.2.2,192.168.1.2,TCP,66,878592,5001  >  53148 [ACK] Seq=1 Ack=865905 Win=878592 Len=0 TSval=2325386645 TSecr=1376424775
211,7.2481,192.168.2.2,192.168.1.2,TCP,66,887296,5001  >  53148 [ACK] Seq=1 Ack=870249 Win=887296 Len=0 TSval=2325386742 TSecr=1376424813
213,7.284427,192.168.2.2,192.168.1.2,TCP,66,930816,5001  >  53148 [ACK] Seq=1 Ack=891969 Win=930816 Len=0 TSval=2325386779 TSecr=1376424909
216,7.466669,192.168.2.2,192.168.1.2,TCP,66,945152,5001  >  53148 [ACK] Seq=1 Ack=899209 Win=945152 Len=0 TSval=2325386961 TSecr=1376425090
218,7.527404,192.168.2.2,192.168.1.2,TCP,66,971264,5001  >  53148 [ACK] Seq=1 Ack=912241 Win=971264 Len=0 TSval=2325387021 TSecr=1376425151
220,7.636099,192.168.2.2,192.168.1.2,TCP,66,1005056,5001  >  53148 [ACK] Seq=1 Ack=931065 Win=1005056 Len=0 TSval=2325387130 TSecr=1376425325
222,7.793573,192.168.2.2,192.168.1.2,TCP,66,1011200,5001  >  53148 [ACK] Seq=1 Ack=933961 Win=1011200 Len=0 TSval=2325387287 TSecr=1376425417
224,7.817985,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=935409 Win=1013760 Len=0 TSval=2325387312 TSecr=1376425442
227,7.83066,192.168.2.2,192.168.1.2,TCP,66,1010176,5001  >  53148 [ACK] Seq=1 Ack=944097 Win=1010176 Len=0 TSval=2325387325 TSecr=1376425454
229,7.903647,192.168.2.2,192.168.1.2,TCP,66,1010176,5001  >  53148 [ACK] Seq=1 Ack=952785 Win=1010176 Len=0 TSval=2325387398 TSecr=1376425526
231,7.976813,192.168.2.2,192.168.1.2,TCP,66,1012736,5001  >  53148 [ACK] Seq=1 Ack=957129 Win=1012736 Len=0 TSval=2325387471 TSecr=1376425600
233,8.012668,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=958577 Win=1013760 Len=0 TSval=2325387506 TSecr=1376425636
235,8.024866,192.168.2.2,192.168.1.2,TCP,66,999424,5001  >  53148 [ACK] Seq=1 Ack=988985 Win=999424 Len=0 TSval=2325387519 TSecr=1376425817
238,8.279166,192.168.2.2,192.168.1.2,TCP,66,1006592,5001  >  53148 [ACK] Seq=1 Ack=1004913 Win=1006592 Len=0 TSval=2325387773 TSecr=1376425902
240,8.412408,192.168.2.2,192.168.1.2,TCP,66,1008128,5001  >  53148 [ACK] Seq=1 Ack=1017945 Win=1008128 Len=0 TSval=2325387906 TSecr=1376426047
242,8.522282,192.168.2.2,192.168.1.2,TCP,66,1011712,5001  >  53148 [ACK] Seq=1 Ack=1023737 Win=1011712 Len=0 TSval=2325388016 TSecr=1376426144
244,8.56986,192.168.2.2,192.168.1.2,TCP,66,1009664,5001  >  53148 [ACK] Seq=1 Ack=1033873 Win=1009664 Len=0 TSval=2325388063 TSecr=1376426192
