"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"101","0.916140","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#5] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544193 TSecr=455765315 SLE=121633 SRE=124529 SLE=112945 SRE=118737 SLE=107153 SRE=110049"
"103","0.940141","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#6] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544217 TSecr=455765315 SLE=127425 SRE=130321 SLE=121633 SRE=124529 SLE=112945 SRE=118737"
"106","0.964511","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#7] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544242 TSecr=455765315 SLE=133217 SRE=136113 SLE=127425 SRE=130321 SLE=121633 SRE=124529"
"107","0.988941","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#8] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544266 TSecr=455765315 SLE=139009 SRE=141905 SLE=133217 SRE=136113 SLE=127425 SRE=130321"
"111","1.012793","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#9] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544290 TSecr=455765315 SLE=139009 SRE=144801 SLE=133217 SRE=136113 SLE=127425 SRE=130321"
"114","1.037999","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#10] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544315 TSecr=455765315 SLE=147697 SRE=150593 SLE=139009 SRE=144801 SLE=133217 SRE=136113"
"117","1.061245","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#11] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544338 TSecr=455765315 SLE=147697 SRE=153489 SLE=139009 SRE=144801 SLE=133217 SRE=136113"
"120","1.086024","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#12] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544363 TSecr=455765315 SLE=147697 SRE=156385 SLE=139009 SRE=144801 SLE=133217 SRE=136113"
"122","1.109710","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#13] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544387 TSecr=455765315 SLE=147697 SRE=159281 SLE=139009 SRE=144801 SLE=133217 SRE=136113"
"124","1.134033","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#14] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544411 TSecr=455765315 SLE=147697 SRE=162177 SLE=139009 SRE=144801 SLE=133217 SRE=136113"
"127","1.158153","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#15] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544435 TSecr=455765315 SLE=147697 SRE=165073 SLE=139009 SRE=144801 SLE=133217 SRE=136113"
"129","1.182373","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#16] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544459 TSecr=455765315 SLE=147697 SRE=167969 SLE=139009 SRE=144801 SLE=133217 SRE=136113"
"131","1.207156","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#17] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544484 TSecr=455765315 SLE=147697 SRE=170865 SLE=139009 SRE=144801 SLE=133217 SRE=136113"
"133","1.231013","192.168.2.2","192.168.1.2","TCP","94","185344","[TCP Dup ACK 88#18] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544508 TSecr=455765315 SLE=147697 SRE=173761 SLE=139009 SRE=144801 SLE=133217 SRE=136113"
