No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
81,0.741274,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=92673 Win=185344 Len=0 TSval=551773609 TSecr=456995239
84,0.76505,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=95569 Win=185344 Len=0 TSval=551773633 TSecr=456995263
86,0.789386,192.168.2.2,192.168.1.2,TCP,66,185856,5001  >  47996 [ACK] Seq=1 Ack=97017 Win=185856 Len=0 TSval=551773657 TSecr=456995288
88,0.802156,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=99913 Win=185344 Len=0 TSval=551773670 TSecr=456995300
90,0.826686,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=102809 Win=185344 Len=0 TSval=551773694 TSecr=456995324
93,0.850075,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=105705 Win=185344 Len=0 TSval=551773718 TSecr=456995348
95,0.886343,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=110049 Win=185344 Len=0 TSval=551773754 TSecr=456995372
97,0.910893,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=112945 Win=185344 Len=0 TSval=551773779 TSecr=456995409
100,0.934636,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=115841 Win=185344 Len=0 TSval=551773802 TSecr=456995433
102,0.958912,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=118737 Win=185344 Len=0 TSval=551773827 TSecr=456995469
104,0.983372,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=121633 Win=185344 Len=0 TSval=551773851 TSecr=456995494
106,1.0073,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=124529 Win=185344 Len=0 TSval=551773875 TSecr=456995494
109,1.031526,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=127425 Win=185344 Len=0 TSval=551773899 TSecr=456995517
111,1.057019,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=130321 Win=185344 Len=0 TSval=551773925 TSecr=456995542
113,1.081323,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=133217 Win=185344 Len=0 TSval=551773949 TSecr=456995566
115,1.105862,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=136113 Win=185344 Len=0 TSval=551773973 TSecr=456995590
118,1.130659,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=139009 Win=185344 Len=0 TSval=551773998 TSecr=456995614
120,1.154705,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=141905 Win=185344 Len=0 TSval=551774022 TSecr=456995640
122,1.179857,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=144801 Win=185344 Len=0 TSval=551774047 TSecr=456995664
124,1.203393,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=147697 Win=185344 Len=0 TSval=551774071 TSecr=456995689
126,1.227936,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=150593 Win=185344 Len=0 TSval=551774095 TSecr=456995713
128,1.252387,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=153489 Win=185344 Len=0 TSval=551774120 TSecr=456995737
130,1.275991,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=156385 Win=185344 Len=0 TSval=551774144 TSecr=456995763
132,1.300061,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=159281 Win=185344 Len=0 TSval=551774168 TSecr=456995786
134,1.324881,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=162177 Win=185344 Len=0 TSval=551774192 TSecr=456995811
136,1.348504,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=165073 Win=185344 Len=0 TSval=551774216 TSecr=456995835
139,1.372943,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=167969 Win=185344 Len=0 TSval=551774240 TSecr=456995859
141,1.396945,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=170865 Win=185344 Len=0 TSval=551774264 TSecr=456995883
143,1.421923,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=173761 Win=185344 Len=0 TSval=551774289 TSecr=456995907
145,1.445456,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=176657 Win=185344 Len=0 TSval=551774313 TSecr=456995931
147,1.481811,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=181001 Win=185344 Len=0 TSval=551774349 TSecr=456995931
150,1.506223,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=183897 Win=185344 Len=0 TSval=551774374 TSecr=456995980
152,1.530741,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=186793 Win=185344 Len=0 TSval=551774398 TSecr=456996004
