PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.038 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=698 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=742 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=808 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=850 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=916 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=1130 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=1420 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=1848 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=2338 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=2850 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=3365 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=3855 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=4385 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=4867 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=5381 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=5871 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=6368 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=6859 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=7349 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=7880 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=8359 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=8862 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=9381 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=9873 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=10376 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=10894 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=11359 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=11875 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=12406 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=12897 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=13387 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=13870 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=14375 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=14890 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=15371 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=15862 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=16389 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=16896 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=17386 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=17900 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=18408 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=18886 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=19426 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=19908 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=20400 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=20903 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=21422 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=21913 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=22404 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=22910 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 51 received, 16% packet loss, time 60170ms
rtt min/avg/max/mdev = 0.038/10568.505/22910.870/7094.969 ms, pipe 19
