No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
82,0.814208,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=101361 Win=42496 Len=0 TSval=2325275881 TSecr=1376315732
85,0.838461,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=104257 Win=42496 Len=0 TSval=2325275905 TSecr=1376315755
87,0.862945,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=107153 Win=42496 Len=0 TSval=2325275929 TSecr=1376315780
90,0.898968,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=111497 Win=42496 Len=0 TSval=2325275965 TSecr=1376315780
92,0.923223,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=114393 Win=42496 Len=0 TSval=2325275990 TSecr=1376315828
94,0.947842,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=117289 Win=42496 Len=0 TSval=2325276014 TSecr=1376315852
97,0.971708,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=120185 Win=42496 Len=0 TSval=2325276038 TSecr=1376315888
99,0.995929,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=123081 Win=42496 Len=0 TSval=2325276062 TSecr=1376315913
103,1.020313,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=125977 Win=42496 Len=0 TSval=2325276087 TSecr=1376315937
105,1.05658,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=130321 Win=42496 Len=0 TSval=2325276123 TSecr=1376315956
108,1.081027,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=133217 Win=42496 Len=0 TSval=2325276147 TSecr=1376315985
111,1.105643,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=136113 Win=42496 Len=0 TSval=2325276172 TSecr=1376316010
113,1.129977,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=139009 Win=42496 Len=0 TSval=2325276196 TSecr=1376316046
115,1.154178,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=141905 Win=42496 Len=0 TSval=2325276220 TSecr=1376316046
117,1.179056,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=144801 Win=42496 Len=0 TSval=2325276245 TSecr=1376316070
119,1.202588,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=147697 Win=42496 Len=0 TSval=2325276269 TSecr=1376316095
121,1.226786,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=150593 Win=42496 Len=0 TSval=2325276293 TSecr=1376316119
123,1.263323,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=154937 Win=42496 Len=0 TSval=2325276330 TSecr=1376316143
126,1.287831,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=157833 Win=42496 Len=0 TSval=2325276354 TSecr=1376316192
128,1.311585,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=160729 Win=42496 Len=0 TSval=2325276378 TSecr=1376316216
130,1.335882,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=163625 Win=42496 Len=0 TSval=2325276402 TSecr=1376316253
132,1.36039,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=166521 Win=42496 Len=0 TSval=2325276427 TSecr=1376316253
135,1.384805,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=169417 Win=42496 Len=0 TSval=2325276451 TSecr=1376316277
139,1.409345,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=172313 Win=42496 Len=0 TSval=2325276475 TSecr=1376316301
141,1.44561,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=176657 Win=42496 Len=0 TSval=2325276512 TSecr=1376316325
143,1.469063,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=179553 Win=42496 Len=0 TSval=2325276535 TSecr=1376316350
