No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
99,4.556823,192.168.2.2,192.168.1.2,TCP,66,1239,5001  >  58166 [ACK] Seq=1 Ack=554585 Win=1239 Len=0 TSval=1140254458 TSecr=1525037951
103,4.859886,192.168.2.2,192.168.1.2,TCP,66,1245,5001  >  58166 [ACK] Seq=1 Ack=579201 Win=1245 Len=0 TSval=1140254761 TSecr=1525038265
108,5.066368,192.168.2.2,192.168.1.2,TCP,66,1245,5001  >  58166 [ACK] Seq=1 Ack=605265 Win=1245 Len=0 TSval=1140254967 TSecr=1525038459
111,5.283968,192.168.2.2,192.168.1.2,TCP,66,1245,5001  >  58166 [ACK] Seq=1 Ack=619745 Win=1245 Len=0 TSval=1140255185 TSecr=1525038678
113,5.405443,192.168.2.2,192.168.1.2,TCP,66,1245,5001  >  58166 [ACK] Seq=1 Ack=637121 Win=1245 Len=0 TSval=1140255306 TSecr=1525038844
115,5.55052,192.168.2.2,192.168.1.2,TCP,66,1245,5001  >  58166 [ACK] Seq=1 Ack=640017 Win=1245 Len=0 TSval=1140255451 TSecr=1525038943
117,5.575021,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=668977 Win=1307 Len=0 TSval=1140255476 TSecr=1525038969
120,5.817709,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=684905 Win=1307 Len=0 TSval=1140255718 TSecr=1525039212
123,5.951327,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=700833 Win=1307 Len=0 TSval=1140255852 TSecr=1525039355
126,6.084685,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=721105 Win=1307 Len=0 TSval=1140255985 TSecr=1525039477
128,6.254151,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=726897 Win=1307 Len=0 TSval=1140256154 TSecr=1525039647
130,6.30226,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=729793 Win=1307 Len=0 TSval=1140256202 TSecr=1525039695
132,6.326266,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=750065 Win=1307 Len=0 TSval=1140256226 TSecr=1525039720
134,6.496314,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=765993 Win=1307 Len=0 TSval=1140256396 TSecr=1525039867
137,6.629567,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=790609 Win=1307 Len=0 TSval=1140256530 TSecr=1525040023
140,6.836037,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=815225 Win=1307 Len=0 TSval=1140256736 TSecr=1525040229
143,7.042131,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=816673 Win=1307 Len=0 TSval=1140256942 TSecr=1525040378
145,7.054899,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=831153 Win=1307 Len=0 TSval=1140256955 TSecr=1525040447
147,7.175412,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=848529 Win=1307 Len=0 TSval=1140257075 TSecr=1525040568
149,7.32057,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=851425 Win=1307 Len=0 TSval=1140257220 TSecr=1525040713
